"tax_id","name_txt","unique_name","name_class"
"1000032","Enterobacter sp. P19-19",Null,"scientific name"
"1000033","Flavobacterium sp. G23-27",Null,"scientific name"
"1000034","Erwinia sp. Koakin",Null,"scientific name"
"100004","Herbaspirillum sp. BA134",Null,"scientific name"
"100004","Herbispirillum sp. BA134",Null,"synonym"
"100005","Herbaspirillum sp. BA161",Null,"scientific name"
"100005","Herbispirillum sp. BA161",Null,"synonym"
"100006","Azospirillum sp. Ala",Null,"scientific name"
"100007","Mycobacterium sp. C2-3",Null,"scientific name"
"100008","Dangeardiella",Null,"scientific name"
"100009","Dangeardiella macrospora",Null,"scientific name"
"10001","Sciurus",Null,"scientific name"
"100010","Leptospora",Null,"scientific name"
"100011","Leptospora rubella",Null,"scientific name"
"100012","Bartonella sp. RR13863PO",Null,"scientific name"
"100013","Bartonella sp. MM5136CA",Null,"scientific name"
"100014","diazotroph str. AB48",Null,"scientific name"
"100015","diazotroph str. AB71",Null,"scientific name"
"100016","diazotroph str. AB117",Null,"scientific name"
"100017","diazotroph str. BA22",Null,"scientific name"
"100018","diazotroph str. BA23",Null,"scientific name"
"100019","CBS 183.55","CBS 183.55 <culture from neotype>","type material"
"100019","CBS H-20123","CBS H-20123 <neotype>","type material"
"100019","Cercidospora exigua",Null,"synonym"
"100019","Didymella exigua (Niessl) Sacc."," 1880",Null
"100019","Didymella exigua",Null,"scientific name"
"100019","Didymosphaeria exigua",Null,"synonym"
"10002","Sciurus aberti aberti",Null,"scientific name"
"100020","diazotroph str. BA27",Null,"scientific name"
"100021","diazotroph str. BA123",Null,"scientific name"
"100022","diazotroph str. BA126",Null,"scientific name"
"100023","diazotroph str. BA136",Null,"scientific name"
"100024","diazotroph str. O1",Null,"scientific name"
"100025","Hysteriaceae",Null,"scientific name"
"100026","Hysterium",Null,"scientific name"
"100027","Hysterium pulicare",Null,"scientific name"
"1000273","Klebsiella sp. NCCP 232",Null,"scientific name"
"1000274","Acinetobacter sp. NCCP-233",Null,"scientific name"
"1000275","Psychrobacter sp. NCCP 234",Null,"scientific name"
