"GenAge_ID","name_gene","organism"
"1050","DiPHthamide biosynthesis","Saccharomyces cerevisiae"
"1051","DYNein","Saccharomyces cerevisiae"
"1052","Elongation Factor Two","Saccharomyces cerevisiae"
"1053","Enhancer of Gal4 DNA binding","Saccharomyces cerevisiae"
"1054","Early Meiotic Induction","Saccharomyces cerevisiae"
"1055","Few Lipid Droplets","Saccharomyces cerevisiae"
"1056","Formyl-Methionyl-tRNA Transformylase","Saccharomyces cerevisiae"
"1057","GALactose metabolism","Saccharomyces cerevisiae"
"1058","General Control Nonderepressible","Saccharomyces cerevisiae"
"1059","Glutamate DeHydrogenase","Saccharomyces cerevisiae"
"106","Cell Division Cycle","Saccharomyces cerevisiae"
"1060","Great for Full DEAD box protein activity","Saccharomyces cerevisiae"
"1061","Glucose Induced Degradation deficient","Saccharomyces cerevisiae"
"1062","Glucose Induced Degradation deficient","Saccharomyces cerevisiae"
"1063","Gpb1p","Saccharomyces cerevisiae"
"1064","Glycerol-3-Phosphate acylTransferase","Saccharomyces cerevisiae"
"1065","TRapp Subunit","Saccharomyces cerevisiae"
"1066","Gtpase-activating protein for YPt1p","Saccharomyces cerevisiae"
"1067","acetyl-CoA carboxylase HFA1","Saccharomyces cerevisiae"
"1068","HIstone Regulation","Saccharomyces cerevisiae"
"1069","HIstone Regulation","Saccharomyces cerevisiae"
"107","Cyclin-Dependent Kinase family","Caenorhabditis elegans"
"1070","HIstone Regulation","Saccharomyces cerevisiae"
"1071","HIStidine requiring","Saccharomyces cerevisiae"
"1072","Histidine triad NucleoTide-binding","Saccharomyces cerevisiae"
"1073","Has Symptoms of class E mutants; resembles Hbp"," Stam and East"
"1074","Homolog of SIR Two (SIR2)","Saccharomyces cerevisiae"
"1075","IsoCitrate Lyase","Saccharomyces cerevisiae"
"1076","Implicated in Zinc Homeostasis","Saccharomyces cerevisiae"
"1077","Just Nuclear Migration","Saccharomyces cerevisiae"
"1078","alpha-KetoGlutarate Dehydrogenase","Saccharomyces cerevisiae"
"1079","Low Dye Binding","Saccharomyces cerevisiae"
"108","Cyclin-dependent kinase 5","Drosophila melanogaster"
"1080","Low Dye Binding","Saccharomyces cerevisiae"
"1081","LIPoyl ligase","Saccharomyces cerevisiae"
"1082","Loss Of Suppression","Saccharomyces cerevisiae"
"1083","LYSine requiring","Saccharomyces cerevisiae"
"1084","MAintenance of Killer","Saccharomyces cerevisiae"
"1085","MAintenance of Killer","Saccharomyces cerevisiae"
"1086","MALtose fermentation","Saccharomyces cerevisiae"
"1087","Multi-copy Bypass of AFG3","Saccharomyces cerevisiae"
"1088","MEDiator complex","Saccharomyces cerevisiae"
