"nr","label","comment","producer","propertyNum1","propertyNum2","propertyNum4","propertyTex1","propertyTex2","propertyTex3","propertyTex4","propertyTex5"
"10006","wrapt defenses bicolors","snowily tetchy regrouping syphilized podgily makework jogs gnarlier confab companionable divagates seamers miffed compresses remarkably antineutrons nonunified chromizing misalliances effeminacy gurgled reinvolving localites overbuying cuddlier blemished cresset mignons coprocessing demounted factualism stars howdies mummeries wheeling jiujitsu scooter grouses horsecar syringes meads triumvirs topologically swooshes bouzoukis incorporatorship ginkgoes chromiums dormitories odor goutiness oscules druggist skeins primped ploughing pubis resetting ferule illegally brailled tediousness couplet reconciled flashier disaffection broomy gormandize hosieries innominate dixit convexo livingly whippers rechecked precociously tenderizer rediscovers calamars declasse ampule","206","118","142","519","syncoms favours pulsejets linguistically extortionately preconditioning lugubriousness","finer pallors fistular","nigritude goodwife googol forints corded gayest overzealously firebombs splashier","\N","\N"
"10007","bugles","decimeter abilities gainers seism koreans iniquities lawnmower hinderers futurity impermanence repair ionium drugged broadband undercooking disputed defog engilding morphologies smellier ulvas gowned converts doltishly initials clunked mustily grimly innovative snaillike mongering bateaux mechanized whiffled arapahos kalpa forgathered exacerbates scapegoatism flivver teacakes stander roistered raisable disarming jalousies blouses sectionalism understudied welsher aulder bursarial sillers reexchanges quackishly flexing writhing unremoved extravehicular misfeasors heeler pushover bodyguards cathedrals reheel strides drizzling chaired paginated peckers mirthless gamboled tallyman endeavour benchmarks harborage netter backdating officiator atonement huntedly preponderated assumes stanched straps banderoles routeman snowshoed triturable exculpation chantors theorizer squinches crusting kelpies multimolecular criticizers omened ultimacy crimeless tuning eurythmics dormancies supernova barbecued correcting corals funniness undersigned rifeness lightships trainsick empowered expendable egregiously nonintellectually embolus anodization chemosterilants acquiesces refilms farsightedly conjugators sukiyakis embitterments ions","206","443","564","507","nonconductor unionize soave meccas kaiak abracadabra cybernation resupply bacteriologies confirms schnook musicotherapy","truckers plainclothesmen brewer courtyards renounces cirques birthmarks tendering preinserted","deputative reverifies grandsir homebreds adhesiveness environs mucked anticline pharisee stupider","quails beauts unadorned crapping evangelism slots showplaces leaved stirringly eschewer histolytic inuring correctional ferries earthwork","aortas overstating noised discusses warningly canonists racoon antiphonies whimsies bridles platelets"
"10008","afterburners ailurophobe cynical","paladins squatly neckwears audibles barbicans diagonally electromagnet cared collops banknotes manfulness mobsters mendaciously presents cirque civically solubly interminableness pillbox abstricts scoreless propounders capon monopolize guilelessly punchy cardias heralded carbolated waived prat quaking moxa shuttled sputniks satori dungier mesospheric enjoiners unsatisfying noctambulism misleading kingships calibration reaffirm colorists schistose subprovinces masseuse venturousness ceremonialists reins interphone toggery lags containerizing flightless unshelled ingles troche pavilions yamuns hunky brie spaced sesterce outspoke cypruses argentum demoralization ransacking cleverish autoed daydreamt acetaminophen sensibler cremates fences folksier peacemaker hatemonger commutator wrapper","206","437","542",Null,"supports fantasizes bracted evenly outputted radiobiologic orderers rendezvousing pouring manifoldly cambiums smouldered cameroonians","readds deliria carate drinkers sacrificing pupated caroming","grizzled compels unbear fragrance disobeyed fluidness","\N","\N"
"10009","excreting","pachisi roperies pima dumbwaiter umps milkwort incumber coprocessing catcalling bushers estrogen lepidopteran hangs utilities troubadour rehems butty sockeyes humorer bootless fluxed mounts prestigiously excites resorters subpoenaing strayed cemeteries deeding hibachis uncompounded hymenopteran fingering unjudicially psaltry jilters reflowing brier eremitic perfumers forks duteous heartier inseminates urogenital coshered pulsations catalog isles slowing indite cuirassing sorted obscurative natured florentines ouzels pays intrusions officialities egomania courtliness concernment fiji detectable weepier quads assertor aerialist downers pouncing graupel hazardously racquets dioramic pacification untwisted sambas developing uncluttered missaid curlings scarring skydive pillowcase","206","1444","537","293","nonpermanent hypothyroidism hobnobs couples overcoat mitering diapasons arrogations manrope abatement lowlife unhelpful horselaughs","cutting landlessness carmaker weirdies fluctuations parcels encipher","zowie chilies matriculations","leeriness osteosclerosis mildened pustular shoaler japanning demobilized lords coagulations seasick velocipede outset nukes gunpoints","indwelt skunked mamas snooty"
"1001","unabsorbent explicated","brachiation nonbending voiceless liminess groined belfries nearness aikido intervals snouted femoral insulars tropism faddier dielectrics chutnees underfinances macromania mislay heils keglers vegas ignoring nullifier granduncles lucite platelets faltered intersectional stellate enabled legislatively reoccupy wannest tormenters focusses switchboards roscoes fabricates stressor unsnarls downgrading wondered oxcarts psoriases consented blandishers charminger sensorially contributories turmoiled gonfalons viticultural carefuller hybridizers semblances datable vulvate cooperators lionizing honor forequarter setting cordially antidotal sadists constitutes shims trusteeing largely fleeter meltons","22","220","1154","626","effloresces stimulation retires bloodless crowder mazed tremulousness stockily hematologist stuntedness martyrdoms","cogitators pawls knolly bureaucratically severers ameboid rotatively swayers fainting sergeantcy","testosterone experting hosed viewy floats dignified portiered loudlier","chippering outstays terrorist wordage semiagricultural russety mas growlier","lasciviousness clamping flammability dos parturition foreknows cubistic colanders"
"10010","menstrual","emancipating premed coulee mousings bactericides draughts agronomy coziest kilometers securement papering petulancy regrets abator arcs eloquence potences unscaled sanctums elbowroom nouns humph absolutest alt backbend reckonings determinability distrusts whities flivver vacuolar pointillists pokeys roundelays youngling furrowing fervidness spindlier sonnets photosynthetic manward fluxing specializes hairsplitters encirclement chainlike inexcusableness pussiest scatologies spaceship perpetualness halidomes millimeters barred chairs heartthrob annihilates dialogued tuesdays arbitragers subbranches clubfooted supporting syncopated bunchier fluidness pantries unsilenced excursuses colorings loudened incurs hummingbirds realistically boomeranged blandisher expansions","206","1258","653",Null,"almoner spiting estates premisses torpidly metering manageability affects overcooled unfertile obstetrically pleads monocytes woodbines whinnies","perfumes extremes stuffiness subvaluation defiled brazee","familiarizations dogberries nuncupative exhibiter adherers gillnets parasitologist","\N","\N"
"10011","misbehaving dispossessed","elated appurtenance paydays natureopathy antiquaries purlieus mitts filleting papacies preferable hutching demiurges gabbiness acquirements skintight tammies offender coonhound bunglers minorca disarrangement foulards hurries garmenting balloted obstructions decider ethoses vultures rippers prodisarmament jarful increases trollopy reword bladed chafferers flimflams colloids degasses gooder knickknacks plumberies lacking ophidian twinning watermelons bailable communists disbelieves paraplegic overissues untapped moused restamping pubs potlach corseted masturbator blockades pouting larders diner ryes quarrels semivowel staplers hookless cameoing snuffbox berates splatter renigs inserter gums ravelings convectional disunity flopping literatures meretriciously prologs snippiest bougainvillea nitrogens craped banes breastworks welches reechoing mammons cants prefigure xylitol vehemency niggles proteas tireless higher preregistered drossy liqueurs muralists wised brasher dishpans","206","1515","1705","38","revenual moistened mortgages deputational coshes artfulness unlighted cuboidal gamuts strapless grillage resubmit justified baulkier","answerer neocolonialists decking effecters amaranths stemmiest stockholders tidied leader","creepier gargled cardiometry graces flooring irrefragable prescripts uncoupled batiste tzigane penetrative reemerge saltiest repopulated","wronging longness indicium buoyed fujis","kicker kishka veld towability cheesily tequila"
"10012","flamboyancy","fueler bete inadequateness roving kabbala souse signification restrings gossipped faunally unassigned menorrhea monitions inquisitorially tumours bilked steeps wasted grasps cliquey tinklier undersold muddling unarticulate deals potterers crowns somniloquies fiddler culpableness reassuming hairstreak coredeemed enunciations spigots shunner fluors shuddered curacies graveclothes subdual manumits exquisitely calculability sweatier nonfactual bacteriophage underrated riveter pricers banquette azons unlevelled physiologist subtasks highhandedly reinvigoration legrooms woodiest misfile dormancies auditing merrily salubrity senhores clotting modernizing bunking trivalve presser","206","75","325","162","noddle neighbors alcazar overcharge scantiness materialized","disruptions trifocal tiller leys fibbed","surfboards remands berettas scuta","precented deducted procreativity scherzi cambodian assassins","stemmers kyries overprotect concluding pinesaps declassifies reprievers ochers torquer carryall"
"10013","ostracods","saltiness scandia unchasteness cocci oxlips foamless infielder mismated chattery camporees mentally garments midges overhears zoroastrians scrappage chanteuses gangplanks wetsuit coring suballiance visas favours occupier scooted tonsillar ghettoizes braking pealed postcards matrilinear rumpuses redone estrin commercialization bethink siphonic villainies arraigns vulgarest aberrations unrestrainedly expostulations polyethylene russe uncharitably submontane precipitates catnapped keeler ahold prebends soreness intersections cannibalized regrade brahmas repackages seatrains antiphons scalesmen dipsomania audiology milkier headless vapoured presbyters comfit stellify obeahs oui representation staunchest spics costuming opted diarrheas serin compensative postprandial inconveniences feinted decipherable footpace scofflaws gelding impolitical glinted unwarmed nondistribution inquisitorially gassers jostled airdrops chinchiest bulimiac plenums toughies solidifies hardbought serialize slatings unriddling bisectionally decelerated scourged willowers lingerer humanitarians fueling immaterially camshafts oxbow roughhousing undemonstrative subdebs retranslates chymist invagination erelong leptonic fizgig rededicating kaddishes entrancing subcellars newsrooms","206","1196","775","550","junketed lasing cyclamens departed feral rhythmically skycap xenoliths ambidextrously overrate oceanographers tamarisk disinterring plotter stylist","thickest sacked valetudinarians ceder","arpeggios ionizer coagulates knows colombian victualed archways wringer","sweepstakes mistier tipcart discompose squints amu editorialized exempts anoxia conciser dewiness christmases scorifying","fissility vulguses physiologists valuing proneness anthracitic signatory chuffer homeyness workroom posted greedily"
"10014","aflatoxin millennial","bandwidths orgies madrones moralities thereamong filched jemmy reheeled obstetrician vialled crashers broadaxe australian merriness maintainer australians overburdening concupiscent bookmark vamoosing frizzly sarcomas haugh tardo commemorates accredits yellowest picots seasonally plenipotentiaries condyles collaterals boodled flotations privities dozes dialler bronchitic booklores unpitied nuncles slippy autodidacts upsurges familiarized summerier insusceptible espouser cuddled flamencos dressier recreantly recharted photocompose noncentrally centrifuging","206","1307","1158",Null,"minicar nolle pasturer dibs sorels gastritis tangram caressing calicos","transits tangoing surmountable resolver volitional muzzler retracting concaved lovelessness shrewdness sustainment","serologic compounding maimed gelatinizing deafening","\N","\N"
"10015","asthmas","lubricator manipulatively slipshod subrule maladies presbyterians reckoners guarder swimmily omnivorous dandling blemished whitsunday thwackers menials reaccompanying interposed mynheers weariness deferment slalomed manchu rouged croissants hospitalizing mechanical necropolises cozenage malfeasantly scavengery ravaging members praxeological defogging splaying antipope eights autobiographies auscultation shaders liminal monoplanes optometrical infantility revenging multipolar preappearances solstices muumuu ferryboats lurked rotaries fails knout retaliated bobtail heiling perusing broadest magnetism fondue cogences lightsome bespake fads caches percussions overspecialize mortarboard sociability vervains subentries confronts repercussion praisers decaliters kludge procured aced stereotyper mongolism boyishly copiousness annexational strutting unconsolidated effemination ryegrasses paranoiacs cratering mortifications esophagal themes civically earwax unbreakable catatonics monasticism","206","137","126","315","fogeys glitters melted cay lipless personalizes suitcases parte imprecating brusquer mumped panging","subtones ciscoes wharfinger preconceives heartstring hulloaed miaouing williwaws","parallels shames reconveyed reaping vituperated glided popcorns salesrooms commandment curator brilliance misproportion attempered biorythmic stockcar","varyingly unum uniquer kilovolts conversationalists carousingly","underweight doubleheaders caterer paucities moilers repriever confounded finbacks brontosaur bort greedier vandalize"
"10016","voyageurs driftway","portress torpedoed qualifies textually whipsawed idiotical tamponed putting versal plies microclimate boxiness adepter sunlamp bulges xerophilous firebirds immigrates variability humiliates ruttiest distasteful harps glinting derivatives dissuasively umiaks capmaker paps affirmers verifying unknown crimsoned untransferable reordered francs grots ort mitigative noneffervescent bijou enchainment elemental crematoriums preferrers underplay phoning gasps boundlessness petards mesmerized lechered molto bullhorn instantly watchfulness aftercare prevented jouster seats inseparably xii cardiological totemites earns unclouding metronomes intoxicated scalers baizes schoolteaching slicker somnambulated insecticides millwright psychologism consommes borrowed squawks limits homespuns conicity colloids relinquishments dimmock sleuthed indelicately hessians sunshines substantives extractive illusions fonding shaker whitens throned pronounces inclusions acidities exurbanite reframes","206","1844","50","1497","galore acquiescently surveys seagoing atrial martinis hardboots hydrocephaly","abasers metrology korsakow","phlegmy bequests enslave uncoupled soarings contra postoffice conciliator ranklingly","margraves hernias thirdly misfiled sweeteners frolickers skying","refuging farced unbinding harping kinsmanship monetarily wadeable updaters meritocracies mamies"
"10017","berceuses frowardness toilful","ratting detergents hissing betokening bushwhacked inverted totalizes schooldays curability mouthier tinkers blousier variableness herniations perpetrates sinters besets subdialects calligraphic entoils disarrange nonparticipant subjugating findings tropical recognizably platooned torments matriculants machicolations wispish rabbinates globalist peerages motherliness scums bagpipers properitoneal hotels assonantly aroynts steerages entitling prearms purchaseable refiles repayment overturned mugger unscholarly obscenely sapor litterer iniquitously preunion stereotypies annoying mime nonsuches postaxial washed annexations fortified fustiest gossiping schismatics frictions blackly kinships vermouths burrer topologically radioactivities crossest mountebank cannonade trilobed compressional subordinately unauspicious eras preachiest coquinas guts measurer submissions acquirer nubility dibbed unresponsiveness betels encrypting","206","450","306","587","qoph indonesian falsifying octyls matchboxes barbituric libidinously fishnet doffer poodles colonizes","deathtraps anciens antagonizing displeases guardants uniquer exterminated filtrated bossiest fixe having unillustrated iscose ruralists","vert brazee venoming totalities dipsomaniac","exterminating reconstitute socking tawnier frills inclusively","destressed nocturns corruptibleness bedizened combusted"
"10018","stripings bumpy","dogs handicappers lanoline astern silliness splotchier toiled rationality arbiters enwombing louvered defiance carpal deadens trundler sardonyxes multiplier cockily enticement wort fluctuating slowworm stalking restrictionist touche codlings frowzier overanalyzes niggards vouches supplicating clarioned hairbreadths twinighters abscises guffs libidinized undeviatingly babushka amniote enforced signatural smirched godding porches censorship concavo val invading viceregally mobilia toothpastes venially rumba heterophile cyclamens metres muckiest degreased huntable alarmist inweaving requital intrinsically mamie serow informational camphorate","206","236","1030","97","interbanking mesozoa usurpers revivalist muggered mothy kneepads conservatorship patroller","redemonstrating pallors colonialist nonunions djinns aerodyne sleekened","drenchers regularization floundered","grumpiness hegiras noncombustibles intercalations forenamed skulduggery","elongates demineralizing imagisms solemnly cuffing thorp milker dined cartoning esperanto delivered codons"
"10019","unum toughs","trigons spoored reappeared astrological loopholes piny electrics photoreceptive unendangered girly mongooses millstones eloquently devising mama dragoman drowning jealousies mil ricked teepee retrospection foretelling necrose proctors irrespectively looker beleaguering grandnephews suppertime linkup slubbings cackles aids warmer whelks instrumentalities pollarding vainest shiftily veined reproductions subordination atomy willingness quizzed alphorns askings quadricentennials pastimes roaster preexists plaguily payout huddling quotes unswearing middler conceptualism tourney joying crepier symptomatology epistlers alchemies thorps nakeder pellucid contemptibly protestor tinmen tangled uncorrected widely sharable dumpiest satieties discretional gored ethicalities stuccos seabed gustative princeling unsuitably overgeneralizes campings boycotting woodcuts enfever cumberers forthrightly gilling jackies owlet neuritises emphasizes brawlers diskette elevenths immunosuppressants proconservation beakless solvability symbionts smokepot clunks aeonian studbooks toadstool emulsoid surreptitiousness wabbled expectorations monarchial pouchiest wanters blends chickpea habiliment callets aborting","206","403","854",Null,"revisit representatively gulches fattened redraw calicoes rhodiums furuncle distributing caulker traumas","ironies flippancies abides gawkies dewberry bureaucrats painless cacophonous brevets rightist guck","theres egomaniac plonking","\N","drifty meticulously trawlers cashoos darker tassels calculation"
"1002","camped grandtotal","plagiarizer worshipers epithets tommies condemner transported distress dissipaters airdropped citifies recoveree outbargain microcephalus tores uveas croaking slurping pettifoggery messmen succinctly psychopathies cruder paraquats tarries indemnities roughly involves disparity incorporations undissolved pickles plaitings thirster anomy delegalizing clambered narcomania sterilely harems pseudoliterary dissembling attractant cropland dogwoods notochordal captioned recondensing buoys ecological counterclaiming flab wattages thickset pulsates crappier conceptualizations systemically middler wakes quadrennials shellfishes escapes peruvians balladeers ruggers candidacies shafting kitchenettes wedgy survivals contemplation retirer unconsolidated ogee faltboats reprinter observers knavishly redeliver disintegration incunabulum splenification corroder panted housemothers larcener cavies duplexer pulsejets","22","1409","608",Null,"barkier misrepresentee blenders concrescences quintuple increased","cyclometers mousers cutaneously dhows croakily cesuras threads","alchymies batters splashily euphemistically nonces wailfully","\N","\N"
"10020","hunkered literati","monkshoods glaciologists vestings gays germiest baggies sapphic sculls schlocks spoilable visitants fixative dastardliness griot taxidermists puddles smugger propers revocatory modernizing goby abradant joked legibility unluckier reprobating coauthors hegiras physically dismayed gulden propagator wooshes jaywalks boggled renig tans immemorially beaked balancers naphtha narrator taunter deadeye wondering gogglers risings antilabor embalmers exaggerators strangles lagoonal deckle emulsive teetotaler presagers mowing junctional psyched honesties veiner tamaracks augustinian syne debarkation outworn reckless harmlessness","206","442","1325","16","opiates preeminently hopefulness overdresses redeemability clop bungholes jolts","bathhouses tares cognisable flanger measures tabourets egocentricity hairsprays","nonmystical linters convects perusing undervalues consanguinities tottery eristics rhymed","maligned guineas wedgy","geog underspends surfaced signalizing"
"10021","oilstone garlands alliterations","disvaluing pickier roofings plats defrosted deathrate downtimes viciousness instabilities unworkable admissibly sauced antra amish pulverizes anitinstitutionalism splitting chemosensitive swooper rya sensationally haji walled sleuthed apologias silvering rescinded repine levo lusher comped rancidness necessitously fluting racks intersections hoboes readaptation comparativeness cozeys invincibly purchases aeonic fencing dicks readopt pensiveness talliers homosexuality finniest snappiness monogamists fuzzing wristbands sheerest directories cameoing toboggans accurately sylphids consumes unacclimated neoplastic upsets reorder cariocas trouncers","206","1094","1667","112","gainless demulcent gaieties gashed subclinical","gaveler thankfulness foremen neoplasm bopping","sponger primates defined surinam honer melodiously fumbler beths","\N","forfended huggermugger enlargements certitudes stoppages snubbier scattering mourns subtotaling compliance mousey remonetized"
