"nr","product","person","title","rating1","rating2"
"100024","20994","5104","volleyers incontestably liquidates displacing masculines representatives sleekest radicands feminized arriving cribbages vacuums","7","7"
"100025","40778","5104","prostrating astrologer nonassertive overbear carriageway incontinencies winkers leading capitulator amazedly stylebook","4","7"
"100026","39045","5104","sponsorship assignor bloodthirstiness tomcats endangerments shadings","7",Null
"100027","23537","5104","phantasmagorical jesuitic boldfaced kakemono ribbers sullies sleets hugged bipartition lasagna rotating subtilest carbo flameouts horrifying",Null,Null
"100028","25859","5104","stupefying afterimpression defroster sunless denaturant accurately malpracticed misguidedly coolest","5",Null
"100029","17616","5104","rectangularly irrupts gooder cartway tetanizes alliteratively races comprised dissected battledore prointervention tauruses perfected","1",Null
"10003","9727","503","dugs autodidacts accruals remittee queries misact precautions tigroid blarneys surtaxing",Null,"4"
"100030","37093","5104","determines maddening cleanses underpart miseducates despairingly rebroadened laces unchained fait phonics scolds machinated briefed","3","7"
"100031","31770","5104","etherizing fabricated provocativeness extinguished",Null,Null
"100032","24014","5105","accusals undeniable peritonital batrachian",Null,Null
"100033","21328","5105","imagines adoptions ic sensated valuers filibusters quarterly earthliest weirdie",Null,"10"
"100034","30621","5105","quadrat tuns dizzily glamorize ensorcel knottiest macula dogberries despondency hangared gelidity adjure forgoers octaval","3",Null
"100035","13150","5105","fleecing guardant wethers obliquity jeering predesignates ascot argots plowable hanger unreel oho mocking","4","10"
"100036","27403","5105","quieters understatements pangs uvulars beneficiate bimah polygamies scummiest","9","2"
"100037","29200","5105","xenobiologies containment forgoers noncompulsory floppies weeded conspires lapidists hardens orates glassier freeload presifted prepackages adhesional",Null,"8"
"100038","20728","5105","sciatics puncher neutralizes steads scapegoater solutions prescore razee moonier jumper cauterizes individualized wakens","9","8"
"100039","20815","5105","taxonomists snowplowed wristwatches lamasery saccharinity wakers dandified recommissioned uninfected outboxed reeky curtailments",Null,"9"
"10004","21610","503","thermochemistry moonrises nutted chichis leafstalks preschool seined freeness","4","1"
"100040","29618","5105","pennon environments yuccas represent somnambulate traditionalistic golem","5","7"
"100041","11048","5105","vestigially smearcase stacked moderatorial",Null,"2"
"100042","9041","5105","dictations footloose shoveler corroboratively calix brushier contrapuntal pitchy dudgeon hypersonic embar avenging handler nonpoetic",Null,"8"
"100043","25677","5105","publications fertileness swerved unscrambled palfreys","1","7"
"100044","9756","5105","unpredictabilness frazzling furcates coons synovias transfigures dewfalls ambulance yarest excogitate interfactional msg clambake incommutably","4",Null
"100045","30055","5105","territorialize saleswomen republica bellboys intercostal hibernation suttee furrieries gulfed backstretch veraciousness whipt natally","6",Null
"100046","27670","5105","ramshackle violater jokes orbitals exerted","10","8"
"100047","7035","5105","contumaciously muckluck readdressed piecer parity preadjustment travelled","3","2"
"100048","11830","5105","warier versos misconstrued dryness goblets cypreses microtomy prounion demythologizations exempla regilt",Null,"7"
"100049","12004","5105","hoosgows leys boxing curliest felloe objectional sulfuring aftershave tambourines bioastronautics","8",Null
"10005","9363","503","tennesseans hunchbacks accoutred plausibly slogger kilting photocomposition nonuniform reexaminations lawyeresses bestrides psf submittance",Null,"9"
"100050","13507","5105","clyster curtseying ridicules outdated succours markkaa triages stealer misshaped gashouse scragging",Null,"1"
"100051","12940","5105","climactically semioses cheroots sweeteners tauting materially apostasis uncheerful danseuses turbit","10","5"
"100052","28940","5105","drafted overfatigue disruptiveness circumstantially equalization wagonette pedestrians shiftily inflammability","4","4"
"100053","18935","5105","inconsiderateness linesmen terrazzo timeliest",Null,"4"
"100054","12731","5106","dynode homestretch bleaters hedgehopped spinets evinces cashable regathering sermonizes cankerous doffs rowable noshers liftoff motherly","3","7"
"100055","28429","5106","enunciation pressor viscidly broadcasting roadbeds adverting grazed venosities abraders elective refunders subcauses",Null,"5"
"100056","17601","5106","alaskan emblements unidentifiable hematoma religiousness squeezers greediness perlitic injuries","9",Null
"100057","12841","5106","petrographers soonest reinterpret photocopy rivaled mooching businesswoman onomatopoeically dragomen bocci heliocentricity wreaks","6","9"
"100058","3090","5106","louvres alleyways frequented monisms crossly tacker","10","2"
"100059","21254","5106","corrections provider nephrite expires tawing keypad fuellers","3",Null
"10006","34083","503","cementing homograph protist inattentively acerbates unlettered hygienical",Null,"2"
"100060","8646","5106","orphanages indents insures indorsed humphing avulsions tentless unwinder diamonding deejay twinnings yeller predicted",Null,"5"
"100061","17948","5106","reconfiscating maws dickensian impregnably nullifier rampageous suborning strands cottagers railings butcheries demilitarizing nigher berating demeriting",Null,"5"
"100062","12732","5106","discontented carousels refurnishing serging hypothecates perfumer reassort unconscionable oversubtle ambers courtesans allayer vanquishers banders","1","7"
"100063","15981","5106","gigue parameters voyageurs blighted lingering evader floweriest disposition pickling threatened","3","1"
"100064","17854","5106","manhunt browser logans sinhs churched irreverences dynamics beans tetryl dioxin dative supplementation nimbuses pickling imprecator","1",Null
"100065","34145","5106","benefiting unburied autonomously fervencies autographs packings venges casper leukocytes whopped hoorays","4","4"
"100066","34609","5106","drongos refilters heelposts helluva bombshell","4",Null
"100067","27005","5107","morels fascisms decapitate puss juggleries reconquering cheaps reanalyses","7","7"
"100068","18591","5107","culpably voiceless making arteriolar czechoslovaks maoist folkloric flinder fringing cornute feruled bentonite freethinker scallywag","2","10"
"100069","32530","5107","galenic dalmatian hectares inhaler cambers typographers submergible hispanics crowders","7","8"
"10007","27967","503","lorn clownishly administratrices suballiances disagreeableness stripiest funnyman",Null,"9"
"100070","24967","5107","trusting eructs lambasts suffixal","2",Null
"100071","20831","5107","atoners experiments illusiveness mannerly courted","3",Null
"100072","37915","5107","stowaways lamed aerobatics amole bartended patrilinies gamesmanship fleshlier plectrums unacceptable","8","6"
"100073","44059","5107","entailing newsiness categorizes pincher crossbreeding",Null,"10"
"100074","23207","5107","viticultural disbars nonmilitarily interstices engird budged",Null,"5"
"100075","14269","5107","bushidos adjusts carnalities nonstriker abduction reboils axil marketeers violated intercellular mozzarella adjurers snivelled abnormals unbosom","8","3"
"100076","18772","5107","moonshining strictured sempre sailing rester bibliographically crosse convexities weeny relicensed atlases","1","4"
"100077","11205","5107","timeouts wisher nervosa printable dances strafing scaped mistime","7",Null
"100078","42196","5107","wirephotos odorize conned hearable fantasized cosmopolitanism apostrophizing rededicates","5","5"
"100079","16241","5107","atria tuckets triturates concussively girlfriend excellency chukker unearthed","1",Null
"10008","20678","503","fastnesses inutile printings hockers fandangos custodians uncompassionate pigments motorize twangles","8","1"
"100080","15104","5107","laparorrhaphy emancipating tweeds electrocardiograms gelled consists rarefied cheerleaders","3","3"
"100081","23919","5107","chemurgic vasodilatation expunging ersatzes surcharged serenities yodeled browbeating preassemble sadistically gismo",Null,"2"
"100082","7473","5107","diversity sententiously pattypans belied mistune bickers stagings flirter",Null,Null
"100083","10601","5107","mingles envisages unpleased neighborhoods shedding emotionless","10","4"
"100084","37176","5107","entrance sacrificers misdirections grantsmanship spooniest tonetics zincate apples radiolucencies buzzwords apologues bendable reminding protrusile",Null,"3"
"100085","23312","5107","aliening alphorn reoccurrence antiproton chutneys misplaced downtimes passovers upstaging authoritarianism parers slaved stanzaic kaffirs nonpredatory","9","1"
