"nr","product","person","reviewDate","title","text","rating1","rating2","rating3","rating4"
"100005","26025","5103","2007-12-18 00:00:00","forgoer quackier extractive disparagement timings","variation confusional fusel pongees midfield twofers paring icebergs blushes chutnees stratigraphy staunches extirpated haggish chapeaus craftsmanship obits salaaming clodpate costliest winks unmooring towaway begot cinnamons predominated rarebit salability wardship compartmentalized summarized slating responsibilities semirespectability leftovers manitou downcourt musettes swivets kidder fathomable beardless akenes golfings hankering skyways cyclings cutlines renascence fortyfives unlikeness broker satanophobia eoliths klaxons whited heteroses bowses remilitarizing ambivalence transitionally beadings anaerobes hexyls thimbles disclose kyanising pavan knifed krills administers exiling leptonic professionally diagramming manipulatable beadworks unrelinquished immovably leniencies billionths enjambment gripple unintelligibly wishbones abolisher uninviting atrophying interrupter penlites resorted points funerals pointillism criterions shingly banning uncircumstantialy balancing cryogens mettles preferences clangor resurveys legator churches elastics debugs sequestratrices overtakes newspeak tensioning tipster unloads shocking slighted otolaryngologist pensioning echidnae decapitator bagful unrepresented cups torques vamps shawling ungrammatical gables rareness outpacing washability jacobins spleens hatting bioactivity outshouting roc escaping sublimes gearings encapsulation snarlers bluffers redefinitions elver dyslexic reputed broomiest cleaver microfilming overzealously misname squatters awes releasibility tartrate elasticity squeakers milliard snugging bacteriological gadding scrubbed ceria bazars condemning duckier holydays reappraisal impugner spaniels moiled jackets diligently krills hyperbaric trundler drugstores fulminations","10","6","2",Null
"100006","21098","5103","2008-01-30 00:00:00","debouch epithelia mimicries copies affraying loafing cutdowns","pummelled worker entrails imperii bromines rabelaisian plussages lawcourt englishwomen inciting subtotal ungrudging stylistically engirded garrotted convergence incuriously federalize reburies sensitizing starlets kuchens catechisms steads incidentals informally goodbyes naturals analyzed rapter endured gooder autobus wasts homespun owls wrasse fruitcakes necked assaulter chairs instability journeys beguiler prenatal frigs pursily hawkers hiked cosmonaut dialed guernseys autodials thorps mastoiditis cutesier muskier reinterpretation nonorthodox pressman hydrargyrum overspreads icicled braking singlets perfecting lameds zymology subsisted pentameter unacknowledging reachable thorniest tempuras ameliorative misplay podgier outbargain evidentiary overtake tetralogies hasenpfeffer cramping pointedly maintains vernalized mazed shipwright lofters buddhists feasibility shacklers rioters instals salinas unboundedly menstruations taster inveteracy blotched breakpoints puffiness resettling accessing elliptically transmogrification clomped necrophile deference redescribe skidoos hyacinthine dozening amoebic caffein jarsful eschewals prizefighter unfailingness streaker maidenheads surrenders salivated beelike convening coffs hartshorn philosophically unambiguous abodes workaholic apium fades amortizes","10","5",Null,"10"
"100007","22661","5103","2007-08-22 00:00:00","tzetzes rended prefixally tanglier whizzes maniocas","annotated acclimatizing temporizes quenchable rennet graveyards bast remodification puling intendeds raters swims checkroom moneylenders golfers congeneric peakish machining twinklers posturers enhancing payola chills censoring retrenches regain ludicrously happenings manglers finder cooked tousles botanical mousings pustulation assertion quivery familiarizations papally flywheel cabbie divesture aquaplanes admixed corms pictures indorser preadjusted scufflers seascape papillae laureated burrows piranhas repudiates handsomer preaccepts reversibleness brachial hyperexcitable incriminator dustpans sexualizing tyrannosauruses hollering riving filigreeing wirings tanzanian bedevilled shuttles adjusted redissolves ricercar cloaks slickers recolonized microspacing patronal monopolists shotguns materials crinklier rewarding teamworks inspecting fevers chlorinators obverts ringtosses hypnoidal throating ingroup squirreled plagiarizer cornering toadfish converging deployments attitudes mondo favors replenishment malthus clearable unscrupulous humidifies footworks drumsticks telephotographed sachet questionnaires absconds teabowl equalising osculate affectionately theologians tuftily","8",Null,"4","1"
"100008","27610","5103","2007-11-17 00:00:00","pepperers reciprocated heiresses laconism wilding aortal assumptions papaya bunchier cadging rightness blindfolds retails antiskid","ostmark aerials indianians glossiest endorsing bonsai battener consoler transfuser lugubriousness clunks supinating mistype antidepressive xviii repopulates tics chorea tyrannies duplicated portionless liquescent rinsing chastisers canaller tutored nonmen maoism sermons irrepatriable outlooks overgenerous discants urinalyses adverseness granddad cyclotrons conical revetting frankness bareness eruptive bursas interlined wafers noncontiguous raviolis invisibleness forequarters toecap prospectors jibes materialize workup pappies spicer prole eclats gimcracks dankly golfing idler yahooisms weirds disclamatory prelacy tins divesture roadwork resurges alcazar mudcapped genal priority marimbas snivelers inducements costar mesentery banners awaited oldies amines wpm facelift entrancements unbuckling mouthpieces overtax preallotting trollings dockets slowish sleepiest triplexes theocratic misconstrues rehears tracers curvier cryogeny slumberers diametric reprieves gabbler clarifies throning stunsail gassier matt rouletted monastical hibernates furred penknives handshaking bushings toweriest snarers venturousness abducting bootlessly promulgator sigmas scarificator prosecutes colonelships horological anaemias imperceptiveness snipping shagginess doeskin bostons calculating dynamos constancy loathes photosynthesizes carbohydrates storerooms brutalization impanels chromized obliger earlships","8",Null,"3","10"
"100009","26757","5103","2007-11-20 00:00:00","scans republicans impeaches faintest establishments maladjusted frequenting trounced pagodas forks","neckerchief schisms linchpin attires colonnades burlesques lawlessly bunged attenders pantsuits uncomfortable validations speeder farces exhibiter infolded wisdoms underestimates fetters ladyship secretor gothicism coronels occulter pivots kindheartedly kb bergamots hermaphrodism chummily seniority cardiometry punchiest triptychs bitingly cesspool acerola hipshot fluxions restyled unshaven kissed adolescence sectary aquiculture gunnels patters mintage biopsies unaffiliated treaties viviparously remover smiter augustly mutator piecrusts plucked chicaning talmudist nonnatives forcibleness supplement jaegars chained conceived castile bedder falser jungles insoul shirtfront subliming clamours hayricks falsies semiopaque pectic swelters visored marlinespikes shiatsu remodify phages calcines moister colas clamorer wresting reenlarge vetoed troublemaker twirls outboasting measurable snags thruways uvular cuffed warrantable dutifully impresser glittery thyroidectomize blandishing unvanquishable strings hecatombs penalties tempehs pilchards slayer zebrass uncontrovertible soubriquet fishing natureopathy fazed mutilator tightness blitzed conventionalized threshers yeomen recoverable imputer latticework necrotically desalted witchings bivalves rescinding momisms clownish historiographers lets quacksalver ballute infringements enciphering outnumber obscener rowan subclinical gastronomically clarifications stigmatized foods inquietude planaria curdy capsular intimidated sutures unforeseen slingshots",Null,"4","1","4"
"10001","18273","503","2008-01-13 00:00:00","anole sticker shipmates chelas servicers giantesses policies workbags slouchier osteological bikeway golfings saucing logicize anilins","boilermakers blowers accounted lavishes bitching enfranchisements simplemindedly repines lettering determination vulgarness leprose mercenarily concurrence frigidly viticultural forerunner foetal nous progs overgrazing implacability brutalization whitish silesia patienter simpatico aesop octagonally bullfighting ahorse kilovolt intermediatory outpouring prudently cannonballed magnific rarefies geosynclines redyeing ounces bondwomen lights fancies outgunning interests unbarred rabbis febrifuges combe stringers chryslers recrowning acidulously ingulfs sanctification statices plucks charwoman breaching muffler sodomites finiteness petrous bibliotherapy voids accumulators opalesces fizzes fortunately multiplicities cogged daimons braying agoras urination trackings clover personalities vowers grubstaking cheerfully ilks enquired sitarist phoning visages flattened disinter convulsions premarital transponders polemist accusals swimming dappled sopping harmless cincture claimed effulgent weariest balmorals rhythms deprehension galumphed mineralogic ecumenical perfectionists waterfowls terminations dimpling hegiras calif stupa europeans worsened hooped grantees tropin holdings rafters untrusting snickers automatism","1",Null,Null,"1"
"100010","18554","5103","2007-12-31 00:00:00","fleyed notarizations mooted hobbledehoys doublets drolleries buoyages greyish siding rotted rerolling carrageenin fastballs jackanapeses","demagnetization gardener technically majuscules troopships vacuously chammied courtesied chinbone longboat graver headlining macerators analyzing sharping chits bohemian overargumentative finnan ironclad zygotic clew suffixion unsent befooling stratigraphic programs nephritises maupassant courtrooms gregariousness bouffes tumors owner paleface gabling repeaters entered wordings filming herby ruggedest printed heredities rediscover beliers dependableness bondmaids afterbirth covetousness gnomical tuxes reciprocating chifforobes ploddingly minesweepers misogamists rehanging floatage exciters extinguishers emergence femoral","1","2",Null,"6"
"100011","26026","5103","2007-10-10 00:00:00","steatopygia bashers conciser guardants yup kickstand ratable anthroposophy splits","commemorator gigantism ringneck doffers illumination burghers unoppressed melanesians sites shoplifters dependably internalizing queaziest deflower readableness rents falsifiable sheather mistuned fitly shouting ghostwrite eschalots equivocations neigh paler tinkliest unintellectual bugbearish battledores potences trompes xylems seconal symptomless verifiability palliations waker resolved gombos aeons drover beamed patents echoers mongrels grungiest harbors incinerating ampoules calendulas baronetcies decreed barrages indistinctly fennec mobilizers rebuked rebirths sherif bittered decoyer counted sneakier operators lexicographically filigrees nystagmus capitalist steelyards coyness localities jadedly gangliar competitiveness collected incitation cautiously knapped obscurantism birefractive miriness swarthiness glassiest deoxidation crummier syndications culpableness airglow numbly formalins gaucheries enchain anchoresses splendider nubbly footmark liefer hoopsters trowsers cheekful franklins fluoroscopically chromizes",Null,Null,"4",Null
"100012","14383","5103","2007-07-08 00:00:00","laboratorial aggrandizement melanomas auditors stutteringly caesarean bestiality nicaraguans expended","czars cornering guineas flowed persistance plena tictacs hotheadedness tangos unchaste ropiest overzealousness remet decongestion garbing stearin practitioners governable baggages sugars flowcharting showers postconsonantal narcotizing mesozoan hoper welshwomen backspin sallier griffon snorkeling tractive upstaged commencement whiningly incorrupt grams assaultable steamships warding pastorale detacher protozoans rampaged straightens discontentedness dehydrated segue swooner hornbills apostrophizing reerects resourcefully narrated ukes intransitively deedless furled referees picketing frenchwomen hostlers dele copping ritualistic miscall flowcharting unkenneled condenser somnambulant reforested russety marrieds blenders serrated codgers questionableness redeemability hoards firmly gristle walkovers beauteously enfolding volplanes barricades pretends brutifies suboxides longness overcoat underplaying clapping whiter workrooms flanker gauntlets shareable called jailor bothered pushily sundowns monorail ranees hawing payload catnaper alphabetize outstandingness scriptures didacts evoking melders immoralities mins pedals ferrum judicatures luckier preexisting wheeziest resistances unlocks portionless humanism awardee ayatollah laughable capacities disobliges reliquaries puked imperturbably babkas canonicity seedpods yahooism platooning tenpence imperiousness shoemaker reactivation amnesiac ragas educt watthour prelimit speedups barometric rotaries subpartnership lichenins codlings constituents medievalist roasted merchants cosmochemistry degaussing challenged distraint usherette orthopaedic holidaying arboured finishers sandwiches explorations xxiv acidities yearly ailed displacing tinders baseboards","8","1","3","2"
"100013","29172","5103","2008-04-30 00:00:00","transposed lengthier autocratically outshouting fragmentariness orchestras comforter rowdyisms donationes omnivore salsa preceptor immaterially batfish","inhibitive separator chats gravure oddnesses bets selvedge outguesses que renegotiator jimjams pilchards distanced essences peppering rabbiting nonaquatic litres dares enoughs tropically servomotor engrams geed bits consubstantiation alchymies robustest tuning bitterly glowflies passwords liveliness assimilative appreciation teacher clags versifications salerooms bullets fen augustness swellings shellier expected grecized forequarter auspiciousness fecundate finders squashers venire ionises ardour doers flakiness adieus bookkeeping resellers bewared effacing frenzies ingratiated filers betters desexes fricassees downplayed discursively hallo statesmanship russify outdistanced feasance sordidness defogged minatory outlasting scabbiness layover logans contaminator oscillometry reutilizing benin lovers wormiest senoritas lacking lords foolery barberries argentic overstimulates easier resoluteness streamliners revictual unleashed reported taunted hairlocks reductional elucidation allusiveness attributes deceiving eunuchism polygonally solstices postulation hospitalize oxyhydrogen hatchers kilty summa subspecific reorganize scofflaw arbores eviscerate exploits seventeenths chumps bodegas sheeney sowing",Null,"8","10","7"
"100014","29134","5103","2008-01-05 00:00:00","ravelers pamperers disannulled reviler kinetics reshipment unswervingly unrounding bromidic peritoneums hackworks retributor coronachs docks shortchanged","racier nubblier putridly metameric contused tapped mishearing breakouts ultraviolet chattered interlarding nonbasic welcoming irishwomen cockerels accusingly hobbledehoys abominated theatricality flamethrower quadruplications detailer funks baiting costuming underestimated marshes reboils thereamong sympathized heaves macaroon instability aerodromes stabilized megalomaniacs fraternizer lineaments medicining lister glutting facility agglutinates unavoidability tarbush flitting evangelizes alienors duped synagogal replied misappropriation identifies rebinding dollies elastomers helping graffiti inviolateness flouts satrapies irreducibilities reprieved sportily juratory nettles binder haunter mazuma unproductiveness shags philtres duelers drapeable varied pentadactylate overweigh hardier speckling armourer recreancy logarithms oxhearts delusively fatigueless nearing interdictum blowfly dolesome readability subcauses noncumulative jinrikisha instigators transactor aquamarines toper subcellars pitheads quirkier atmans algonquians holsters semifictional suburbed incumbencies pct mishearing supplely bonsai totality daintiness bombed communications preassigning chokey supraliminally solids discontinuous horrors detainers dissipates panicking brings totalizing stylizes madrigals headmen palpitating nitpicks reassurances parceled recommenders scotching scollops slideway pomaded rearrangement disinclines shilling consistently largehearted honester manipulating newsstands skyrockets generated cuticles snuggeries retrenching concedes promisers gentlefolk stammeringly eon sappier delegati hellenes prolapsing setoffs purser phonal winnower creepage semantically featherbedded stained seedtime satirizer reggae repined vamped cenobitical",Null,"1",Null,"6"
"100015","23478","5103","2008-03-05 00:00:00","preciser underflow baffled redissolved chews togas taproom tollgates relisted foretokening whanging tasses maneuverable","midweekly bequests pinko widower spaceflights imparter breves waiter cryptograms maidenhead testily expertly moodiness camped inshrining lymphosarcoma chattered marzipan equalled lollypop linsey cliffs circumambulations mutagenically cadettes uncurtained porker boxes resuscitators overwriting ranters croupy rooflines deterrer quavered cribber peruke incriminates overfond asserter jailors soloed dumfounded meretriciousness adenose coverture misguides marginally leathered feinschmecker devisors vulcanizes gestures disfranchisers incubator granulations smoothness aigrettes hrs vender scrimmages alerter smeller latins evaders bunters windsock feyer ghostwrite rooftrees goofiest harrier rarer enthralling conveyers assertively actuary negativity kilorads tuppences carnivorous uncork illogical","5",Null,"4","3"
"100016","41689","5103","2007-11-03 00:00:00","carted blackjacking reproof interregional calumnious weens combinations wiggeries","icebreaker crematoriums flyleaves bushfire impaired hedger transmutable ordeals rancored nonsustaining divulgence divvy oceanographers watercolor protozoic heredities authoresses alnico conquerors reassimilate woodcarvers augends stockers accordantly cindering dowsing northwestward literatures declaratively telepathically milks nonoperable nodding revisers icicles strabismally carvers fishers resubmitting cellists hemolyze werewolf attendants absolutism brailed monotonously thoued floatiest enchantingly neurotransmitters guaranties cruised inflammative oreganos laudable powwowed breeching chirpiest buzzwords subrents rathskellers copers bionic apposes grounded symposiums choker acidulation sentineled antibiotic graveless tracers hectares reclassified chafferer vamoosing lateralities sunbows rebills skiey exclusively anthropophagy neapolitans imperishably funiculus ankus leukaemia blamers crabgrass shabbiness pentadactylism deferrals bathyspheres mauled erne mainlands saddened admirable fortunetellers splashily partway sluicing lateraled exculpation pussyfoot hemmers bonbon catcalled coequally tarsus defending frying weirdest equines mappable carpe chomps calliper unforgettable dronish preappointing braininess deflower clothiers repatriate reaping millivolts ilks quintuplicating aztecs huntable stoutness playthings clayier pilaffs unsavory mischance valorizes preheat marauder broadtail pharynxes loyalist tartan cottagers insubordination collectively exoterically blamelessness panamanian supervise stargazed genders condominiums raspingly doling amphoras vocalize bountiful moxies cryogen steres antigravity monoliths housesit unscrewing berobed censing conservancy undeliverable microcephalous regear downcourt",Null,Null,"9","8"
"100017","11806","5103","2008-02-27 00:00:00","exculpation catalogues gulfing amuser crammed unholy stereochemical anticyclonic unrevealed rheumatoid mendacities reprogramming","judgement signposted shorting inoculation customshouse gutturally shapeliness pilgrims aptly idolised miniaturization melanogen reflections actinides coffing imprecator nakeder intelligibly uncrowning landscapes duckboard zincate nubilities pattie trembled entombed glissaded reacquaintance erases sternest recognized blips disrepute prosed mismarriages yolked geoids kinematically regilt enthused directing litterer foreigner blabby bumblebees pederasty hawks miscalculations jester daringly shipwrights recusator airships demographic chopsticks overinsistence mitigators nontropical podgily redistrict limpets mikado sandbar undefinable quarrying player segmenting cummerbunds departmentalizes cozier starts whump acoustically antihero sexualization taxman fusspots twofolds midtown minicabs",Null,Null,"7","7"
"100018","20650","5104","2008-03-19 00:00:00","reapportions meaners surrealism bubonic debasing coagulator derat enthusiasms reloader","ductal outproduced buckers recalculates expounded rhinoceroses bounded somnambulism lighter reconversions whimsied underflow sparkiest solidifying vitally bewildering compaction fledgy wealthier asserts enclosing allots daubes farmable caveated quotas foldboats highth racings overcooled loved secretaries strivers unreasoned shovelling farrowed pitier krait reactivities regardful straightness melanins tsaritzas approximations containerships supernaturalness troilus polyhedrons cutter vinylic barbecued refractiveness romanticized flambe strolled mudslinger inkpots uncheerful shelterer condignly jerkies acknowledgers gingersnaps praiseworthily immaterialness grasslands prewash uprearing eluder cecal lyricisms blackeners semens wharve shutterbug unprejudiced suntans sidekicks drubs puttees repacks penstocks atomize unpresentable purer bahamians inditing adoring folkish trenches headquartered puffily narcs subleased floppiest sooths pogroming goggling untravelled whisted admirals pranced laces poultices singsongs refracture boob aerological marting clearinghouse pitiableness christs warper misterms uptowners beauts preventability curls cashboxes elects memorably sojourns rancidifying innocency skittery lacing frazzles originalities righteously",Null,"3","6",Null
"100019","20134","5104","2007-10-29 00:00:00","odalisque unconsoled inflexed fumy hospitalizing","receded gawkier accompanyist appliances arcades exposes predefined uplifting tother audiences gorges annoyed stomachache beanbags freightage homogeneously laryngotracheal keratins reprovingly relapses liberators proves receives nonentities bipotentiality allies excites suffrages relinquishes impressiveness cellars wreckers virtuousness aristocracies forjudge uptakes stylise overhanded rumination empowered pickaxed faddism preselects deprecator reheel chalking intercessors advises plights togged regarding overtax livings secretory sifts barbering mulattos floppers subfraction abeam lodestars campuses dimensions daybeds usherettes dogfishes chemotherapeuticness chaparrals flourished tablas miscounts tourneys dialogued evaporative blacklist inviolated carrots carmines carvings roble brownstones giggly germanies glassman teletypes defenselessly stripteaser vervet overbalance typists clumsiest boos dawning coshes hankers checkoffs overruled mustards sewing knifers winegrower smelliness schnauzer cleaver foaminess incidentals shipowner invents legitimizations exotics genuflects renig elbows nonsubmissiveness keratotic lulus alleges hornswoggle channelizing counterfeits merengue manchurians substations tippled oystermen cantingly sawyers founder intercity salvos totable uselessly preoccupation tossers effulge overcapitalize eldrich outboards wrothful clairvoyants stilettoes demilitarize misfeasors regenerators branchy cumulated whisht twofolds boozer sculptress finnickier spuriousness musings cleansers treasurable scutcheon communicates topping winnowed shrines outranked huns compresses silhouetting flabbier","10",Null,"10","10"
