stop,location,stopDescription,stopLat,stopLong,wheelchairAccessible
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_104_1030>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Cuart de Poblet 1 B"^^xsd:string,"40.39915"^^xsd:double,"-3.74463"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_104_1031>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Cuart de Poblet 1 B"^^xsd:string,"40.39913"^^xsd:double,"-3.74463"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_104_284>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de la Alhambra 56"^^xsd:string,"40.39917"^^xsd:double,"-3.74454"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_104_285>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de la Alhambra 33"^^xsd:string,"40.39903"^^xsd:double,"-3.74422"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_105_1033>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle  Vía Carpetana 141"^^xsd:string,"40.39278"^^xsd:double,"-3.74097"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_105_1035>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle  Vía Carpetana 139"^^xsd:string,"40.39332"^^xsd:double,"-3.74058"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_105_1036>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle  Vía Carpetana 139"^^xsd:string,"40.39322"^^xsd:double,"-3.74069"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_105_286>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle  Vía Carpetana 306"^^xsd:string,"40.39277"^^xsd:double,"-3.74134"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_107_287>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Portalegre 98"^^xsd:string,"40.38635"^^xsd:double,"-3.72348"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_107_288>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Portalegre 73"^^xsd:string,"40.38584"^^xsd:double,"-3.72337"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_108_289>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda de Oporto 4"^^xsd:string,"40.38529"^^xsd:double,"-3.71853"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_108_290>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza de Fernández Ladreda 5"^^xsd:string,"40.38561"^^xsd:double,"-3.71776"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_108_291>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza de Fernández Ladreda 5"^^xsd:string,"40.38537"^^xsd:double,"-3.71815"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_108_292>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Marcelo Usera 170"^^xsd:string,"40.38529"^^xsd:double,"-3.71618"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_108_293>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza de Fernández Ladreda 2"^^xsd:string,"40.38512"^^xsd:double,"-3.71672"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_108_800>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle  Vía Lusitana 2"^^xsd:string,"40.38448"^^xsd:double,"-3.71823"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_109_294>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Amparo Usera 46"^^xsd:string,"40.38703"^^xsd:double,"-3.70663"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_109_295>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Mirasierra 41"^^xsd:string,"40.38822"^^xsd:double,"-3.70374"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_109_806>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza de Amparo Usera  1"^^xsd:string,"40.38701"^^xsd:double,"-3.7068"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_10_34>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Barceló 2"^^xsd:string,"40.42628"^^xsd:double,"-3.70082"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_10_35>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Fuencarral 78"^^xsd:string,"40.4262"^^xsd:double,"-3.70103"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_10_36>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Fuencarral 81"^^xsd:string,"40.42569"^^xsd:double,"-3.70111"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_111_296>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Mendez Álvaro 73"^^xsd:string,"40.39611"^^xsd:double,"-3.6806"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_111_297>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Méndez Álvaro 64 C"^^xsd:string,"40.39594"^^xsd:double,"-3.68087"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_111_299>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Pedro Bosch SN"^^xsd:string,"40.39629"^^xsd:double,"-3.67882"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_111_595>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Pedro Bosch SN"^^xsd:string,"40.39571"^^xsd:double,"-3.67974"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_111_596>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Ombu 20"^^xsd:string,"40.39418"^^xsd:double,"-3.67749"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_113_301>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 175"^^xsd:string,"40.40707"^^xsd:double,"-3.66999"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_113_302>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza del Conde de Casal 2"^^xsd:string,"40.40702"^^xsd:double,"-3.67068"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_113_303>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 159"^^xsd:string,"40.40868"^^xsd:double,"-3.6698"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_113_304>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 114"^^xsd:string,"40.4087"^^xsd:double,"-3.67022"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_113_801>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza del Conde de Casal 2"^^xsd:string,"40.40701"^^xsd:double,"-3.67071"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_114_1038>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 68"^^xsd:string,"40.41461"^^xsd:double,"-3.66974"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_114_1039>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 68"^^xsd:string,"40.41457"^^xsd:double,"-3.66974"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_114_305>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 62"^^xsd:string,"40.41548"^^xsd:double,"-3.66966"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_114_306>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Doctor Esquerdo 103"^^xsd:string,"40.4154"^^xsd:double,"-3.66928"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_114_307>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 107"^^xsd:string,"40.41469"^^xsd:double,"-3.66929"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_114_308>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 66"^^xsd:string,"40.41479"^^xsd:double,"-3.66973"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_115_309>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 42"^^xsd:string,"40.4215"^^xsd:double,"-3.66917"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_115_310>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 36"^^xsd:string,"40.42266"^^xsd:double,"-3.6691"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_115_311>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 34"^^xsd:string,"40.42321"^^xsd:double,"-3.66905"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_115_312>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del Doctor Esquerdo 49"^^xsd:string,"40.42282"^^xsd:double,"-3.66859"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_119_313>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza de la República Argentina 8"^^xsd:string,"40.44495"^^xsd:double,"-3.68488"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_119_314>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Joaquín Costa 41"^^xsd:string,"40.44369"^^xsd:double,"-3.6837"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_119_315>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Joaquín Costa 26"^^xsd:string,"40.44336"^^xsd:double,"-3.68394"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_119_316>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Juan de la Cierva SN"^^xsd:string,"40.4432"^^xsd:double,"-3.68344"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_11_37>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle  Gran Vía 21"^^xsd:string,"40.41991"^^xsd:double,"-3.7013"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_11_38>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle  Gran Vía 23"^^xsd:string,"40.41992"^^xsd:double,"-3.70183"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_11_39>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle  Gran vía 28"^^xsd:string,"40.42013"^^xsd:double,"-3.70181"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_11_40>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de la Montera 44"^^xsd:string,"40.41951"^^xsd:double,"-3.70167"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_317>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Orense 3"^^xsd:string,"40.44707"^^xsd:double,"-3.69538"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_318>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Agustín de Betancourt 25"^^xsd:string,"40.4461"^^xsd:double,"-3.69524"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_319>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 71"^^xsd:string,"40.44695"^^xsd:double,"-3.69314"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_320>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Raimundo Fernández Villaverde 67"^^xsd:string,"40.44658"^^xsd:double,"-3.69243"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_321>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Raimundo Fernandez Villaverde 67"^^xsd:string,"40.44658"^^xsd:double,"-3.69301"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_322>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Raimundo Fernandez Villaverde 67"^^xsd:string,"40.44656"^^xsd:double,"-3.69301"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_395>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 67"^^xsd:string,"40.44592"^^xsd:double,"-3.6917"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_396>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 110"^^xsd:string,"40.44583"^^xsd:double,"-3.69073"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_397>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 69"^^xsd:string,"40.44662"^^xsd:double,"-3.69153"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_398>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 100"^^xsd:string,"40.44437"^^xsd:double,"-3.69094"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_399>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 69"^^xsd:string,"40.44657"^^xsd:double,"-3.69218"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_403>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 67"^^xsd:string,"40.44483"^^xsd:double,"-3.69175"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_404>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 69"^^xsd:string,"40.44652"^^xsd:double,"-3.69155"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_405>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 100"^^xsd:string,"40.44457"^^xsd:double,"-3.69091"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_406>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Raimundo Fernández Villaverde 67"^^xsd:string,"40.44657"^^xsd:double,"-3.6921"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_603>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Raimundo Fernández Villaverde 67"^^xsd:string,"40.44658"^^xsd:double,"-3.6925"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_605>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Raimundo Fernández Villaverde 67"^^xsd:string,"40.44624"^^xsd:double,"-3.69368"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_606>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Raimundo Fernández Villaverde 67"^^xsd:string,"40.4463"^^xsd:double,"-3.69368"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_607>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de Raimundo Fernández Villaverde 67"^^xsd:string,"40.44619"^^xsd:double,"-3.69371"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_608>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 67"^^xsd:string,"40.44517"^^xsd:double,"-3.69199"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_120_609>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Castellana 67"^^xsd:string,"40.44505"^^xsd:double,"-3.692"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_122_323>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle del General Rodrigo 17"^^xsd:string,"40.4457"^^xsd:double,"-3.71401"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_122_324>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda de la Reina Victoria 55"^^xsd:string,"40.44598"^^xsd:double,"-3.71321"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_122_325>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda de la Reina Victoria 55"^^xsd:string,"40.44589"^^xsd:double,"-3.71366"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_122_326>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de la Reina Victoria 32"^^xsd:string,"40.44707"^^xsd:double,"-3.71023"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_122_327>,<http://transport.linkeddata.es/resource/LocationType/2>,"Calle de la Reina Victoria 30"^^xsd:string,"40.44717"^^xsd:double,"-3.70979"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_123_328>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda de Gregorio del Amo 8"^^xsd:string,"40.44619"^^xsd:double,"-3.72003"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_123_329>,<http://transport.linkeddata.es/resource/LocationType/2>,"Avda de la Moncloa 15"^^xsd:string,"40.44664"^^xsd:double,"-3.71787"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_124_330>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza de Ramón y Cajal 1"^^xsd:string,"40.44359"^^xsd:double,"-3.72658"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_124_331>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza de Ramón y Cajal 1"^^xsd:string,"40.44356"^^xsd:double,"-3.72697"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_124_332>,<http://transport.linkeddata.es/resource/LocationType/2>,"Plaza de Ramón y Cajal 1"^^xsd:string,"40.44363"^^xsd:double,"-3.72687"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_127_1052>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo de la Florida 2"^^xsd:string,"40.42086"^^xsd:double,"-3.72037"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
<http://transport.linkeddata.es/madrid/metro/stops/acc_4_127_333>,<http://transport.linkeddata.es/resource/LocationType/2>,"Paseo del Rey 12"^^xsd:string,"40.42141"^^xsd:double,"-3.71859"^^xsd:double,<http://transport.linkeddata.es/resource/WheelchairBoardingStatus/0>
