"nr","label","producer","propertyNum1","propertyNum2","propertyTex1"
"10023","ingots sneezy teargases","206","45","232","emaciated spittoon gaminess derrieres"
"10024","vowelizes","206","1773","1189","sanitaries drenches xylems"
"10025","mishears engraining","206","745","785","ketchups pomps caesuras gildhall appearing microfilm presentiments shapes pinta confessional violably desugaring"
"10026","senseless assiduously","206","1181","1709","vamping masturbated unbars croaking superabundance prenticed czarevna houris civies surpluses emptiest hockers valleys judicatories"
"10027","woefully heliographs","206","554","953","overdosed backstretch reinter grainiest serin miaouing deflagration immixing gossiping chaffered filmier choppers maqui lined"
"10028","victualer musculatures","206","1195","938","fizgigs overdosing subaqueous parametric eulogizer cadmic flatulence catapulted unrepresentative prosthodontics sauteing unbred horseshoer"
"10029","sheeny","206","1079","793","impatiently bleached contingencies sopping saxes gamins sugariness appose abatis extrospection fencers barest"
"1003","unfortunates","22","266","231","attainer virulency whoredoms migrants uncomfortable gippers gallies"
"10030","repellents","206","1601","1080","pointed kirned inquisitory syphilis brickwork gladliest herring aphorized"
"10031","confusingly","206","1128","1994","uncontrite hemispheres conceivableness ogres carillons launchers"
"10032","desiccatory decisiveness","207","176","146","delirifacient emboldens sullener tarted girlhood kidnapers slush radiometers alarms giraffes groped"
"10033","skinheads telephoning slapper","207","1144","885","biomedicine winders lesbianism"
"10034","jiminy","207","1186","1566","joys rancidifying oldness humanly saltpeter"
"10035","annattos advertisers shipwrights","207","1124","686","scorifying stockpots layers unseaworthiness spotted breakdowns scapegoater tattles osteopathically odorants distracting fusileer"
"10036","reprocessing matt abaft","207","836","1659","shelly ploughed recrown homicidally unrewarding piscators complementarily ideograms resilience pipelines toolless reticules"
"10037","lexicographer supernovas","207","976","448","underran bumpiest palaces barkers unwarily tourniquet shilling mutilators hydrophone spital"
"10038","pathogens","207","351","1097","soloist unravelled atropism audiometries loosed rapprochements footworks soirees deadpan camper unexceptional undertows"
"10039","clotured frets","207","917","723","communicates flavorsome overthrow recrudescence ejects jollify"
"1004","infarcts","22","1362","354","rosettes stagger howdie chitins loafing babka haphazardness bilbo rumrunner clubby hails subcommanders motorcades stylise diabolo"
"10040","telecasters barkentine daubery","207","214","480","comparisons prancingly obverses"
"10041","recreating ropewalks crumblings","207","647","404","decimating desugar smugly"
"10042","sexologies muskets laminator","207","1516","1070","cakewalked geegaws tippled periled payable noncasual cores deaconries actuators anywise sulfates cuttlebones"
"10043","delicto","207","1409","121","birdhouses bouncing pontons confidently oblongata reformatting"
"10044","advantaged questions","207","483","552","shaves blusterer inflations descriptiveness lumberjacks joggling aberrants encases misdeliveries"
"10045","quids","207","597","361","perfidiously curvedly rockroses stargazes wailing vialled arbitrational approached potentiometric footrest"
"10046","alertest enlists unpoetic","207","744","478","cognomen buckra rehems fudges"
"10047","martially circularizing","207","628","850","wordiness scapegrace messes accosting redeposit lees lect momentously brin explorer cotillions furred"
"10048","exculpations","207","904","1894","outscoring pettishly strayers skeletomuscular speciosity pliably pathetically reinflamed airiest conscripttion quackishness tutorship"
"10049","wheedles","207","764","58","visualizer durum dandles cartload"
"1005","poisoner freely","22","479","231","epiloguing organs reanalyzing marrows intersex introversive unpedigreed mocking banshies spoliation varietal anted egressing"
"10050","thirties","207","870","1584","physicianly oscillated regimes arriving freeholds bufotoxin idealogy unroofed rocketry phonogram"
"10051","abandoned","207","441","699","chaplaincies mounted rants chukkas professionalize grower inkblots fatigueless hype"
"10052","plinks","207","1200","736","afghanis jars dinghies colin paroxysmal miscast twanged maturer"
"10053","peripherals neatest copyists","207","1524","1034","magistracies prebless deafish stumbler bestrewed quotes selflessly psychiatrists borates muckers beltless biennia reassumptions driblets"
"10054","heehawing","207","337","746","warthog ozonise pleasureful filtrable dealcoholization josher strikes"
"10055","atoll cymbalists qui","207","501","595","analogic interconnected amusable prorogation doter veinings unclasped reattaching viewpoints sacs divinest alpinists"
"10056","misconception lorn brawlier","207","824","705","marveling tribadism puddled cymbling irades swordsmanship duodena trampers abstractedly turnkeys protuberances albuminous chromizes tacking"
"10057","contractile kepis","207","305","513","linter innovated mounting uninjured nozzles deriders impregnably bourne inklings pelorias douched twerp gats"
"10058","looking hyphenation","207","222","222","nineteens helpers immigrants administrated mastoiditis"
"10059","alcazars dandles","207","707","522","amorphousness unwitnessed reprogramming nonbeing hulloaed tirelessly worldbeaters"
"1006","overattentive","22","1462","320","bruskness correction sallier syndicating economized extortionate torquers"
"10060","procedurals almshouse","207","887","1145","supposedly egomaniac circumambulates craftsmanship woolsorter preapplication contraries computes panga catacombs"
"10061","dyspepsia hummer consolidated","207","774","496","manageability horripilation stupefied adventuresome rhythmicity haft"
"10062","florists","207","739","1340","bowknot allotropes hayracks buffable arguses detraction refolding tromp legitimizations goldbrick mooring"
"10063","praying harriers discredited","207","981","1119","skittery dickie oxygenic tertials octobers coxwaining wens polemists poseurs testosterone luminaries scampi diethylamide sequoias weakly"
"10064","scanners dehorning","207","417","553","campaigner etiquettes corvees carbonless lividity hardhacks flannelet adductor concelebrate nobleness reappearance"
"10065","nutters dollish weightier","207","615","1582","premedical ruralism wiggles"
"10066","erectly dupers","207","44","218","scabbed concelebration losers usableness premieres preaccustomed nobilities finesses indicants rafting flagpoles motorship"
"10067","irrevocableness","207","578","201","greeks confidences vilifying holdfasts passaged quatorze feeding stupors concisest preaccepted kevels"
"10068","dietetically","207","318","1782","liveliness miauled precognition unassessed dressmakers cribbage mucking patienter glucoses colic antihypertensives neurotoxic homologies hatches"
"10069","preshape activeness dreidels","207","234","267","hajjis unexecuted jazzes workbags countable hoofs cloakrooms mixups sapphist functional gondoliers"
"1007","biophysiography adorer bowshots","22","599","883","diptera stretti velum regulation peacocked slabbery pavement"
"10070","pharyngectomy donatives","207","165","831","wrongest semiurban pupation helpmeets"
"10071","transferer jiff","207","254","512","lifeline glanders unmarketable cartoonist unrelenting opinionated allotters"
"10072","parricide","207","884","195","tetras quirts shrillest solaces defenses kitchenettes irritatingly supersexes unpicked cakewalked feminines harpings mislain"
"10073","hypochondriac psalming","207","397","910","matrilinearly curtly telepathist pegs fevering welding subminiaturization erodes fragmentally chittering erupted aneroids molluscans warhorses"
"10074","unsteadier","207","1124","570","roughhews compacting silencers grunion leftest gesturing reacclimate unforested unentered locaters occupiers injects"
"10075","hypnotics crating","208","323","546","clandestineness unrip conferences enflamed mothproof recalcitrances listlessness"
"10076","blitzkrieged odalisks catalyzers","208","617","503","improvidence mariposas incongruously"
"10077","tripper","208","8","1797","diffused flirters bumpering eyecups tipi firms mideast tupped variously cagiest doorsills yearbooks"
"10078","tuner reelects","208","590","1070","phenological levators floozies chamfered asymmetrical ennobler dramatizations phantasmagorical"
"10079","recognized archangels yodling","208","1023","267","arteriocapillary gaels americanisms scragging rowel binal bourgeon lections agin flowering vituperating birdbaths spiffiest"
"1008","modules involutions","22","531","669","shojis incorrupted haler shavians entomologists macrons deceleration undergo japanizing wickerwork fulminations"
"10080","disclosed terming","208","223","756","heatstroke rayed seaboots agelessly defusing hoariest gentil perorations wakes deadwoods precleaned clopped detested expeditiously"
"10081","puncturing crackers","208","75","1011","cliffhanging larders sheathes palling parenthesize interdicts mongoloid stetsons ruddiness homebodies"
"10082","numbly burgundies","208","861","1312","overinvesting multiversity decentralize supposers sincerer deeps trolled brattiness fluoridates nestings nephews overnice laggings"
"10083","minify misdefined","208","1813","79","clipt succour defecting excommunicates equerries syncing deterges gametic sparest imposting schoolmates disaffections octupling"
"10084","defoliants","208","1170","254","visualized recovers hominized thriftiest prosceniums packsaddles whims cooks apronlike"
"10085","patterning jugular choirs","208","529","738","inkpot fissured toothiest commander reinjuring clattering nauseously trinal bewilders urbanologists adiposity anisic choses"
"10086","decorums hungerless","208","860","923","verbs cavilers kiosks runagates rehearses boltheads indurating hemotoxin outmaneuvering sweatbox reprobes relinquisher soldering"
