"stop_id","stop_name","wheelchair_boarding"
"acc_4_120_403","Edificio acceso RENFE - Raimundo Fernandez Villaverde","0"
"acc_4_120_404","Ascensor nº5","0"
"acc_4_120_405","Ascensor nº6","0"
"acc_4_120_406","Ascensor exterior RENFE - Arcadas","0"
"acc_4_120_603","Ascensor exterior RENFE - Arcadas","0"
"acc_4_120_605","Edificio acceso RENFE - Raimundo Fernandez Villaverde","0"
"acc_4_120_606","Ascensor exterior RENFE 1 - Raimundo Fernandez Villaverde","0"
"acc_4_120_607","Ascensor exterior RENFE 2 - Raimundo Fernandez Villaverde","0"
"acc_4_120_608","Ascensor exterior RENFE 1 - Raimundo Fernandez Villaverde","0"
"acc_4_120_609","Ascensor exterior RENFE 2 - Raimundo Fernandez Villaverde","0"
"acc_4_122_323","General Rodrigo","0"
"acc_4_122_324","Reina Victoria impares - G. el Bueno","0"
"acc_4_122_325","Ascensor","0"
"acc_4_122_326","Los Vascos","0"
"acc_4_122_327","Reina Victoria pares","0"
"acc_4_123_328","Gregorio del Amo","0"
"acc_4_123_329","Juan XXIII","0"
"acc_4_124_330","Facultades","0"
"acc_4_124_331","Avda. Complutense","0"
"acc_4_124_332","Ascensor","0"
"acc_4_127_1052","Ascensor","0"
"acc_4_127_333","Correspondencia RENFE","0"
"acc_4_127_334","Intercambiador","0"
"acc_4_127_336","Correspondencia RENFE","0"
"acc_4_127_610","Arcadas","0"
"acc_4_127_612","Centro Comercial","0"
"acc_4_127_613","Ascensor","0"
"acc_4_127_614","Centro Comercial","0"
"acc_4_128_339","Plaza Santa Cristina","0"
"acc_4_128_340","Caramuel","0"
"acc_4_129_341","Pza. Alto de Extremadura","0"
"acc_4_129_342","Francisco Brizuela","0"
"acc_4_12_1034","Alcalá","0"
"acc_4_12_1048","RENFE","0"
"acc_4_12_41","Carretas","0"
"acc_4_12_42","Carmen","0"
"acc_4_12_43","Mayor","0"
"acc_4_12_776","Ascensor","0"
"acc_4_12_777","Preciados","0"
"acc_4_130_343","Cebreros","0"
"acc_4_130_344","Higueras","0"
"acc_4_130_345","Ascensor","0"
"acc_4_132_346","Avda. de Niza impares","0"
"acc_4_132_802","Avda. de Niza pares","0"
"acc_4_133_347","Pobladura del Valle pares","0"
"acc_4_133_348","Pobladura del Valle impares","0"
"acc_4_134_349","Amposta","0"
"acc_4_134_350","Castillo de Uclés","0"
"acc_4_134_351","Zaratán","0"
"acc_4_135_352","Hermanos García Noblejas","0"
"acc_4_135_353","José Arcones Gil","0"
"acc_4_136_354","Ascao","0"
"acc_4_138_355","Martínez Villergas","0"
"acc_4_138_356","Virgen del Romero","0"
"acc_4_139_357","Avda. de Bruselas impares","0"
"acc_4_139_358","Avda. de Bruselas pares","0"
"acc_4_13_44","Conde de Romanones","0"
"acc_4_13_45","Magdalena","0"
"acc_4_140_359","Avda. de América pares","0"
"acc_4_140_360","Avda. de América impares","0"
"acc_4_142_361","Miguel Angel","0"
"acc_4_142_362","José Abascal","0"
"acc_4_142_363","Ascensor","0"
"acc_4_143_364","José Abascal - Alonso Cano","0"
"acc_4_143_365","José Abascal - Ponzano","0"
"acc_4_143_366","Ascensor","0"
"acc_4_145_367","Cea Bermúdez pares - Gaztambide","0"
"acc_4_145_368","Cea Bermúdez impares - Gaztambide","0"
"acc_4_145_369","Ascensor","0"
"acc_4_145_370","Cea Bermúdez pares - Guzmán el Bueno","0"
"acc_4_145_371","Cea Bermúdez impares - Guzmán el Bueno","0"
"acc_4_147_372","Moguer","0"
"acc_4_147_373","Alejandro Rodríguez","0"
"acc_4_147_374","Pablo Iglesias impares - Francos Rodriguez","0"
"acc_4_147_375","Pablo Iglesias pares - Francos Rodriguez","0"
"acc_4_147_376","Ascensor","0"
"acc_4_148_377","San Restituto","0"
"acc_4_148_378","Ascensor","0"
"acc_4_148_379","Emerenciana Zurilla","0"
"acc_4_148_380","Armenteros","0"
"acc_4_149_381","Valderrodrigo - Valdesangil","0"
"acc_4_149_382","Valderrodrigo","0"
"acc_4_149_383","Ascensor","0"
"acc_4_14_46","Amor de Dios","0"
"acc_4_14_47","Magdalena","0"
"acc_4_14_49","Atocha impares","0"
"acc_4_14_50","Atocha pares","0"
"acc_4_150_384","Vereda de Ganapanes impares","0"
"acc_4_150_385","Vereda de Ganapanes pares","0"
"acc_4_150_386","Ascensor","0"
"acc_4_151_387","Islas Cíes","0"
"acc_4_151_388","Ascensor","0"
"acc_4_152_389","Ramón Gómez de la Serna","0"
"acc_4_152_390","Riscos de Polanco","0"
"acc_4_152_391","Ascensor","0"
"acc_4_154_392","Camino de Peñagrande","0"
"acc_4_154_394","Ascensor","0"
"acc_4_156_409","Príncipe de Vergara impares - Colombia","0"
"acc_4_156_410","Príncipe de Vergara pares - Colombia","0"
"acc_4_156_411","Príncipe de Vergara impares - Pza. Rep. Dominicana","0"
"acc_4_156_412","Príncipe de Vergara pares - Pza. Rep. Dominicana","0"
"acc_4_156_413","Ascensor","0"
"acc_4_158_414","Avda. Capital de España-Madrid","0"
"acc_4_158_415","Feria de Madrid pabellones impares","0"
"acc_4_158_416","Feria de Madrid pabellones pares","0"
"acc_4_158_417","Ascensor","0"
"acc_4_159_418","Terminales 123","0"
"acc_4_159_419","Ascensor","0"
"acc_4_159_420","Ascensor","0"
"acc_4_15_51","Atocha","0"
"acc_4_15_52","Ministerio","0"
"acc_4_160_421","Avda. Logroño","0"
"acc_4_160_422","Ascensor","0"
"acc_4_161_423","Ginzo de Limia","0"
"acc_4_161_424","Cardenal Herrera Oria","0"
"acc_4_162_425","Ginzo de Limia impares","0"
"acc_4_162_426","Ginzo de Limia pares","0"
"acc_4_162_427","Melchor Fernández Almagro","0"
"acc_4_162_428","Ginzo de Limia pares","0"
"acc_4_163_429","Avda. Asturias impares","0"
"acc_4_163_430","Avda. Asturias pares","0"
"acc_4_165_431","Mateo Inurria","0"
"acc_4_166_432","Avda. de Pío XII","0"
"acc_4_166_433","Avda. de Pío XII","0"
"acc_4_168_434","Plaza de Cataluña","0"
"acc_4_168_435","Príncipe de Vergara","0"
"acc_4_169_436","Príncipe de Vergara pares","0"
"acc_4_169_437","Príncipe de Vergara impares","0"
"acc_4_169_438","Príncipe de Vergara impares","0"
"acc_4_169_439","Príncipe de Vergara pares","0"
"acc_4_16_53","Alfonso XII","0"
"acc_4_16_54","Paseo Infanta Isabel","0"
"acc_4_16_572","Ascensor","0"
"acc_4_173_440","Ibiza","0"
"acc_4_175_441","Camino de los Vinateros impares","0"
"acc_4_175_442","Camino de los Vinateros pares","0"
"acc_4_175_443","Estrella Polar","0"
"acc_4_176_444","Vinateros impares","0"
"acc_4_176_445","Corregidor José de Pasamonte","0"
"acc_4_176_446","Vinateros pares","0"
"acc_4_176_447","Arroyo Belincoso","0"
"acc_4_177_448","Vinateros impares","0"
"acc_4_177_449","Vinateros pares","0"
"acc_4_177_450","Vinateros","0"
"acc_4_177_451","Pico de Artilleros","0"
"acc_4_178_452","Hacienda de Pavones impares","0"
"acc_4_178_453","Hacienda de Pavones pares","0"
"acc_4_178_803","Terminal Autobuses","0"
"acc_4_179_454","Bulevar Indalecio Prieto - Raya","0"
"acc_4_179_455","Ascensor","0"
"acc_4_179_456","Bulevar Indalecio Prieto - Los Pinilla","0"
"acc_4_17_57","Menéndez Pelayo impares","0"
"acc_4_17_58","Menéndez Pelayo pares","0"
"acc_4_17_59","Gutenberg","0"
"acc_4_180_457","Pº Artilleros impares","0"
"acc_4_180_458","Pº Artilleros pares","0"
"acc_4_180_459","Ascensor","0"
"acc_4_181_460","San Cipriano pares","0"
"acc_4_181_461","San Cipriano impares","0"
"acc_4_181_462","Ascensor","0"
"acc_4_182_463","Terminal de Autobuses","0"
"acc_4_182_464","Terminal Autobús - RENFE","0"
"acc_4_182_465","Ascensor no acceso independiente","0"
"acc_4_183_467","Pº Ferrocarril","0"
"acc_4_184_468","Wenceslao Garcia","0"
"acc_4_185_469","Ctra. Campo Real","0"
"acc_4_186_470","Pº de la Estación","0"
"acc_4_187_471","Barrio Sta. Ana","0"
"acc_4_188_472","Cdad. Sanitaria La Paz","0"
"acc_4_188_473","San Modesto","0"
"acc_4_18_1050","Ascensor","0"
"acc_4_18_60","Doctor Esquerdo pares","0"
"acc_4_18_61","Doctor Esquerdo impares","0"
"acc_4_18_62","Sánchez Barcaíztegui","0"
"acc_4_191_475","Paseo Castellana impares","0"
"acc_4_191_476","Paseo Castellana pares","0"
"acc_4_192_477","Plaza de Lima","0"
"acc_4_192_478","Paseo Castellana pares","0"
"acc_4_192_479","Paseo Castellana impares","0"
"acc_4_192_480","Paseo Castellana pares","0"
"acc_4_199_481","El Lago","0"
"acc_4_19_63","Albufera pares","0"
"acc_4_19_64","Albufera impares","0"
"acc_4_19_65","Peña Prieta","0"
"acc_4_1_1","Plaza de Castilla","0"
"acc_4_1_1040","Ascensor","0"
"acc_4_1_1043","Intercambiador Superficie","0"
"acc_4_1_1044","Ascensor","0"
"acc_4_1_2","Castellana impares","0"
"acc_4_1_3","Bravo Murillo","0"
"acc_4_1_4","Paseo Castellana pares","0"
"acc_4_1_773","Intercambiador","0"
"acc_4_200_482","Villamanín","0"
"acc_4_200_483","Venta del Batán","0"
"acc_4_202_484","Sedano","0"
"acc_4_202_485","Crta. Carabanchel - Aravaca","0"
"acc_4_202_486","Ascensor","0"
"acc_4_203_487","Pº de Extremadura","0"
"acc_4_203_488","Pº de los Húsares","0"
"acc_4_203_489","Ascensor nº2","0"
"acc_4_203_490","Ascensor nº1","0"
"acc_4_204_491","Avenida de la Libertad pares","0"
"acc_4_204_492","Avenida de la Libertad impares","0"
"acc_4_204_493","Ascensor","0"
"acc_4_205_494","Avenida de la Libertad pares","0"
"acc_4_205_495","Avenida de la Libertad impares","0"
"acc_4_205_496","Ascensor","0"
"acc_4_205_497","Olímpico Francisco Fernández Ochoa","0"
"acc_4_207_498","Avda. de Abrantes impares","0"
"acc_4_207_499","Avda. de Abrantes pares","0"
"acc_4_207_500","Ascensor","0"
"acc_4_208_501","Avda. de Abrantes pares - Besolla","0"
"acc_4_208_502","Avda. de Abrantes impares - Besolla","0"
"acc_4_208_503","Ascensor","0"
"acc_4_20_66","Norte pares","0"
"acc_4_20_67","Norte impares","0"
"acc_4_20_68","Sur impares","0"
"acc_4_20_69","Sur pares","0"
"acc_4_210_504","Avda. de Leganés","0"
"acc_4_210_505","Ascensor","0"
"acc_4_211_506","Avda. Móstoles-Navalcarnero","0"
"acc_4_211_507","Avda. Móstoles-Bailén","0"
"acc_4_211_508","Ascensor exterior","0"
"acc_4_211_509","Avda. Móstoles","0"
"acc_4_211_582","C/ Berlín Hospital","0"
"acc_4_211_583","C/ Berlín por 2º vestíbulo renfe","0"
"acc_4_211_584","Ascensor exterior RENFE","0"
"acc_4_212_510","Estambul","0"
"acc_4_212_511","Ascensor","0"
"acc_4_213_512","Avda. Alcalde de Móstoles","0"
"acc_4_213_513","Ascensor","0"
"acc_4_213_576","Avda. Alcalde de Móstoles","0"
"acc_4_214_514","Paseo de la Estación","0"
"acc_4_214_515","Ascensor exterior RENFE 1","0"
"acc_4_214_586","Goya","0"
"acc_4_214_587","Ascensor exterior RENFE 2","0"
"acc_4_215_516","Pza. de Pradillo","0"
"acc_4_215_517","Ascensor","0"
"acc_4_216_518","Río Ebro - Río Sella","0"
"acc_4_216_519","Ascensor","0"
"acc_4_217_520","Manuela Malasaña","0"
"acc_4_217_521","Ascensor","0"
"acc_4_218_522","Avda. de Pablo Iglesias","0"
"acc_4_218_523","Pza. de la Concordia","0"
"acc_4_218_524","Ascensor","0"
"acc_4_219_525","Cº del Molino - Hospital","0"
"acc_4_219_526","Cº del Molino - Universidad","0"
"acc_4_219_527","Ascensor","0"
"acc_4_21_70","Albufera pares","0"
"acc_4_21_71","Rogelio Folgueras","0"
"acc_4_21_72","Albufera impares","0"
"acc_4_21_73","Teniente Muñoz Díaz","0"
"acc_4_220_528","Francia","0"
"acc_4_220_529","Ascensor","0"
"acc_4_221_530","Pº de la Estación","0"
"acc_4_221_531","Ascensor no acceso independiente","0"
"acc_4_221_589","Paseo de Roma","0"
"acc_4_221_590","Ascensor exterior RENFE","0"
"acc_4_222_532","Avda. de los Estados","0"
"acc_4_222_533","La Habana","0"
"acc_4_222_534","Ascensor","0"
"acc_4_223_535","Las Ciencias","0"
"acc_4_223_536","Ascensor","0"
"acc_4_224_537","Senda de Mafalda","0"
"acc_4_224_538","Ascensor","0"
"acc_4_225_539","Ferrocarril - El Greco","0"
"acc_4_225_540","Ascensor","0"
"acc_4_226_543","Paseo del Ferrocarril","0"
"acc_4_226_544","Ramon y Cajal","0"
"acc_4_226_545","Ascensor exterior RENFE 1","0"
"acc_4_227_546","Avda. de España pares","0"
"acc_4_227_547","Avda. de España impares","0"
"acc_4_227_548","Ascensor","0"
"acc_4_228_1084","C. Gitanilla","0"
"acc_4_228_1085","Ascensor","0"
"acc_4_228_549","Avda. del Casar","0"
"acc_4_228_550","Ascensor","0"
"acc_4_229_551","Avda. de Rigoberta Menchú","0"
"acc_4_229_552","Ascensor","0"
"acc_4_22_74","Pío Felipe","0"
"acc_4_22_75","Buenos Aires","0"
"acc_4_230_553","El Bercial","0"
"acc_4_231_555","Avda. Rey Juan Carlos I pares","0"
"acc_4_231_556","Avda. Rey Juan Carlos I impares","0"
"acc_4_231_557","Ascensor","0"
"acc_4_232_558","Avda. Rey Juan Carlos I pares","0"
"acc_4_232_559","Avda. Rey Juan Carlos I impares","0"
"acc_4_232_560","Ascensor","0"
"acc_4_233_561","Casa del Reloj","0"
"acc_4_233_562","Avda. de Gibraltar impares","0"
"acc_4_233_563","Ascensor","0"
"acc_4_234_564","Avda. de Orellana","0"
"acc_4_234_565","Hospital Severo Ochoa","0"
"acc_4_234_566","Ascensor","0"
"acc_4_235_567","Avda. del Cobre","0"
"acc_4_235_568","Ascensor","0"
"acc_4_235_592","Virgen del Camino","0"
"acc_4_235_593","Ascensor exterior RENFE","0"
"acc_4_236_569","Avda. del Mar Mediterráneo","0"
"acc_4_236_570","La Encina","0"
"acc_4_236_571","Ascensor","0"
"acc_4_23_76","Albufera impares","0"
"acc_4_23_77","Albufera pares","0"
"acc_4_23_78","Ascensor","0"
"acc_4_24_79","Rafael Alberti - Ambulatorio","0"
"acc_4_24_80","Albufera pares","0"
"acc_4_24_81","Aparcamiento","0"
"acc_4_24_82","Ascensor","0"
"acc_4_252_623","Corbeta","0"
"acc_4_252_624","Ascensor","0"
"acc_4_253_625","Velero","0"
"acc_4_253_626","Ascensor","0"
"acc_4_253_627","Pinos de Osuna","0"
"acc_4_254_628","Avda. Los Poblados impares","0"
"acc_4_254_629","Avda. Los Poblados pares","0"
"acc_4_254_630","Ascensor","0"
"acc_4_255_631","Avda. Carabanchel Alto","0"
"acc_4_255_632","Ascensor","0"
"acc_4_256_633","Avda. La Peseta","0"
"acc_4_256_634","Ascensor","0"
"acc_4_257_635","Fuente de Lima","0"
"acc_4_257_636","Ascensor","0"
"acc_4_258_637","Gran Vía de Hortaleza","0"
"acc_4_258_638","Ascensor","0"
"acc_4_259_639","Bronce","0"
"acc_4_25_577","Acceso Glorieta RENFE","0"
"acc_4_25_83","Avenida de la Democracia","0"
"acc_4_25_84","Correspondencia RENFE","0"
"acc_4_25_85","Ascensor exterior RENFE","0"
"acc_4_25_86","Avda. de la Democracia - Arboleda","0"
"acc_4_260_640","Avda. Marqués de Corbera","0"
"acc_4_260_641","Ascensor","0"
"acc_4_261_474","Chamartín","0"
"acc_4_261_642","Ascensor","0"
"acc_4_262_643","Bambú","0"
"acc_4_262_644","Ascensor","0"
"acc_4_263_645","Arturo Soria","0"
"acc_4_263_646","Ascensor","0"
"acc_4_264_647","Capitán Cortés","0"
"acc_4_264_648","Costa del Sol","0"
"acc_4_265_649","Vélez Rubio","0"
"acc_4_265_650","Ascensor","0"
"acc_4_267_651","Avda. Córdoba impares","0"
"acc_4_267_652","Avda. Córdoba pares","0"
"acc_4_267_653","Ascensor","0"
"acc_4_268_654","Glorieta de Málaga","0"
"acc_4_268_655","Ascensor","0"
"acc_4_269_656","Avda. Perla","0"
"acc_4_269_657","Avda. Andalucia pares","0"
"acc_4_269_658","Ascensor","0"
"acc_4_26_87","Pº Federico García Lorca","0"
"acc_4_26_88","Sierra Vieja","0"
"acc_4_26_89","Ascensor","0"
"acc_4_270_659","Tertulia","0"
"acc_4_270_660","Paseo Gigantes y Cabezudos","0"
"acc_4_270_661","Ascensor","0"
"acc_4_271_662","Santiago Amón","0"
"acc_4_271_663","Santa Petronila","0"
"acc_4_271_664","Ascensor","0"
"acc_4_272_665","Moncada","0"
"acc_4_272_666","Avda. Andalucía pares","0"
"acc_4_272_667","Ascensor","0"
"acc_4_273_668","Valle de Tobalina","0"
"acc_4_273_670","Ascensor","0"
"acc_4_274_693","Retablo de Melisendra","0"
"acc_4_275_691","Avda. Monasterio de Silos","0"
"acc_4_275_692","Ascensor","0"
"acc_4_276_689","Palas de Rey","0"
"acc_4_276_690","Ascensor","0"
"acc_4_277_687","Maestro Mateo","0"
"acc_4_277_688","Ascensor","0"
"acc_4_278_685","La Granja","0"
"acc_4_278_686","Ascensor","0"
"acc_4_279_683","Avda. Bruselas","0"
"acc_4_279_684","Ascensor","0"
"acc_4_27_90","Congosto","0"
"acc_4_27_91","Plaza de Congosto","0"
"acc_4_27_92","Ascensor","0"
"acc_4_280_680","Marqués de la Valdavia","0"
"acc_4_280_681","Ascensor","0"
"acc_4_281_678","Manuel de Falla","0"
"acc_4_281_679","Ascensor","0"
"acc_4_282_676","Avda. Lomas del Rey","0"
"acc_4_282_677","Ascensor","0"
"acc_4_283_674","Avda. Plaza de Toros","0"
"acc_4_283_675","Ascensor","0"
"acc_4_284_671","Poeta Rafael Morales","0"
"acc_4_284_672","Hospital Infanta Sofía","0"
"acc_4_284_673","Ascensor","0"
"acc_4_285_694","Terminal T4","0"
"acc_4_286_710","Estadio Metropolitano","0"
"acc_4_286_711","Estocolmo","0"
"acc_4_286_712","Ascensor","0"
"acc_4_287_708","Avda. España","0"
"acc_4_287_709","Ascensor","0"
"acc_4_288_703","Doctor Fleming","0"
"acc_4_288_704","Correspondencia RENFE","0"
"acc_4_288_706","Ascensor RENFE","0"
"acc_4_288_707","Ascensor","0"
"acc_4_289_701","Honduras","0"
"acc_4_289_702","Ascensor","0"
"acc_4_28_93","Plaza de Toros","0"
"acc_4_28_94","Plaza de Toros","0"
"acc_4_290_699","Gonzalo de Córdoba","0"
"acc_4_290_700","Ascensor","0"
"acc_4_291_697","Plaza de Guernica","0"
"acc_4_291_698","Ascensor","0"
"acc_4_292_695","Algorta","0"
"acc_4_292_696","Ascensor","0"
"acc_4_293_713","Avda. Ensanche de Vallecas","0"
"acc_4_293_714","Ascensor","0"
"acc_4_294_715","Cañada del Santísimo","0"
"acc_4_294_716","Ascensor","0"
"acc_4_295_717","Avda. Ensanche de Vallecas","0"
"acc_4_295_718","Ascensor","0"
"acc_4_296_761","Hospital del Henares","0"
"acc_4_296_762","Ascensor exterior","0"
"acc_4_29_95","D. Ramón de la Cruz","0"
"acc_4_29_96","Doctor Esquerdo","0"
"acc_4_2_5","Capitán Blanco Argibay","0"
"acc_4_2_6","Aníbal","0"
"acc_4_300_815","Concepción Arenal","0"
"acc_4_300_816","Marie Curie","0"
"acc_4_300_817","Ascensor exterior","0"
"acc_4_305_1045","San José","0"
"acc_4_305_1046","Ascensor Exterior","0"
"acc_4_30_100","Felipe II impares","0"
"acc_4_30_101","General Díaz Porlier","0"
"acc_4_30_778","Ascensor ext nº4 a A2 L4","0"
"acc_4_30_779","Ascensor ext nº5 a A2 L4","0"
"acc_4_30_780","Ascensor ext nº2 a A1 L2","0"
"acc_4_30_781","Ascensor ext nº3 a A1 L2","0"
"acc_4_30_782","Ascensor exterior","0"
"acc_4_30_97","Conde de Peñalver pares","0"
"acc_4_30_98","Conde de Peñalver impares","0"
"acc_4_30_99","Felipe II pares","0"
"acc_4_31_103","Alcalá","0"
"acc_4_322_1058","Arriaga","0"
"acc_4_322_1059","Ascensor Exterior","0"
"acc_4_323_1060","Acceso Intercambiador","0"
"acc_4_323_1061","Ascensor Exterior Nº1","0"
"acc_4_323_1062","Avenida de Guadalajara","0"
"acc_4_323_1063","Ascensor Exterior Nº 2","0"
"acc_4_324_1064","Dresde","0"
"acc_4_324_1065","Ascensor Exterior","0"
"acc_4_325_1066","Paseo de Ginebra","0"
"acc_4_325_1067","Ascensor Exterior","0"
"acc_4_326_1068","Mirasierra","0"
"acc_4_326_1069","Ascensor Exterior","0"
"acc_4_32_104","Lagasca","0"
"acc_4_32_105","Rampa","0"
"acc_4_32_106","Retiro","0"
"acc_4_32_107","Claudio Coello","0"
"acc_4_33_108","Palacio de Buenavista","0"
"acc_4_33_109","Banco de España","0"
"acc_4_33_110","Marqués de Cubas","0"
"acc_4_33_111","Barquillo","0"
"acc_4_345_1075","Paco de Lucía","0"
"acc_4_345_1076","Ascensor Exterior","0"
"acc_4_34_112","Sevilla","0"
"acc_4_34_113","Virgen de los Peligros","0"
"acc_4_34_114","Iglesia de las Calatravas","0"
"acc_4_36_1054","Arenal","0"
"acc_4_36_1056","Campomanes","0"
"acc_4_36_1057","Ascensor","0"
"acc_4_37_116","Santo Domingo","0"
"acc_4_37_117","Gran Vía","0"
"acc_4_38_118","Ministerio de Justicia","0"
"acc_4_38_119","Noviciado","0"
"acc_4_39_120","Alberto Aguilera","0"
"acc_4_39_121","Carranza","0"
"acc_4_3_7","Algodonales","0"
"acc_4_3_8","General Margallo","0"
"acc_4_40_122","Arapiles","0"
"acc_4_40_123","Fuencarral","0"
"acc_4_41_124","Bravo Murillo pares","0"
"acc_4_41_125","Bravo Murillo impares","0"
"acc_4_41_126","Ascensor","0"
"acc_4_43_127","Plaza de Legazpi","0"
"acc_4_43_128","Beata María Ana de Jesús","0"
"acc_4_43_783","Plaza de Legazpi esquina Bolivar","0"
"acc_4_43_784","Ascensor","0"
"acc_4_44_129","Cáceres","0"
"acc_4_44_130","Ciudad Real","0"
"acc_4_44_785","Pº de las Delicias impares","0"
"acc_4_44_786","Ascensor","0"
"acc_4_45_131","Paseo de las Delicias","0"
"acc_4_45_787","Palos de la Frontera impares","0"
"acc_4_45_788","Ascensor","0"
"acc_4_46_136","Embajadores","0"
"acc_4_46_137","Ronda de Valencia","0"
"acc_4_46_789","Ascensor","0"
"acc_4_47_790","Ascensor","0"
"acc_4_47_791","Argumosa","0"
"acc_4_49_139","Centro Comercial","0"
"acc_4_49_140","Plaza de Callao","0"
"acc_4_49_141","Cine Avenida","0"
"acc_4_49_142","Palacio de la Prensa","0"
"acc_4_49_792","Jacometrezo","0"
"acc_4_49_793","Ascensor","0"
"acc_4_49_794","Ascensor","0"
"acc_4_4_10","Juan de Olías","0"
"acc_4_4_11","Manuel Luna","0"
"acc_4_4_12","Fulgencio de Miguel","0"
"acc_4_4_9","Navarra","0"
"acc_4_50_143","Leganitos","0"
"acc_4_50_144","Coliseum","0"
"acc_4_50_145","Plaza de España","0"
"acc_4_50_146","Reyes","0"
"acc_4_50_147","Princesa","0"
"acc_4_50_148","Ascensor","0"
"acc_4_50_149","Ascensor","0"
"acc_4_50_795","Ascensor","0"
"acc_4_51_150","Princesa impares","0"
"acc_4_51_618","Princesa pares","0"
"acc_4_51_796","Ascensor","0"
"acc_4_52_151","Princesa","0"
"acc_4_52_152","Alberto Aguilera","0"
"acc_4_52_153","Altamirano","0"
"acc_4_52_154","Guzmán el Bueno","0"
"acc_4_52_797","Ascensor","0"
"acc_4_53_155","Acceso Intercambiador Ejercito del Aire","0"
"acc_4_53_156","Princesa","0"
"acc_4_53_157","Ascensor exterior intercambiador","0"
"acc_4_53_579","Edificio de acceso intercambiador","0"
"acc_4_53_798","Arcipreste de Hita","0"
"acc_4_53_807","Intercambiador E. del Aire","0"
"acc_4_57_160","Santa Bárbara","0"
"acc_4_57_161","Génova pares","0"
"acc_4_57_162","Santa Engracia","0"
"acc_4_57_163","Hermanos Álvarez Quintero","0"
"acc_4_58_164","Génova impares","0"
"acc_4_58_165","Génova pares","0"
"acc_4_59_167","Serrano","0"
"acc_4_59_168","Goya pares","0"
"acc_4_59_169","Goya impares","0"
"acc_4_59_170","Goya pares","0"
